,0,1,2,3,4,5,6,7,8
0,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,,,,,,,
1,over_utilised_agricultural_area,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,,,,,,
2,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,,,,,,
3,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_pop_density,,,,,,
4,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_participation_in_education_and_training,,,,,,
5,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_life_expectancy,,,,,,
6,over_stock_of_vehicles_by_category_and_nuts2,not_over_health_personnel_by_nuts2,not_over_longterm_care_beds_per_hundred_thousand_nuts2,,,,,,
7,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,,
8,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_longterm_care_beds_per_hundred_thousand_nuts2,,,,,,
9,over_utilised_agricultural_area,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_pop_density,,,,,
10,over_utilised_agricultural_area,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_unemployment_rate_nuts2,,,,,
11,over_utilised_agricultural_area,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_participation_in_education_and_training,,,,,
12,over_utilised_agricultural_area,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_life_expectancy,,,,,
13,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_unemployment_rate_nuts2,,,,,
14,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_life_expectancy,,,,,
15,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_pop_density,not_over_participation_in_education_and_training,,,,,
16,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_life_expectancy,not_over_pop_density,,,,,
17,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_unemployment_rate_nuts2,not_over_participation_in_education_and_training,,,,,
18,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_life_expectancy,not_over_unemployment_rate_nuts2,,,,,
19,over_hospital_discharges_resp_diseases_j00_to_j99_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_life_expectancy,not_over_participation_in_education_and_training,,,,,
20,over_utilised_agricultural_area,over_farm_labour_force,not_over_life_expectancy,not_over_longterm_care_beds_per_hundred_thousand_nuts2,,,,,
21,over_farm_labour_force,over_deaths,not_over_compensation_of_employees_by_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,
22,over_farm_labour_force,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,
23,over_population_nuts2,over_farm_labour_force,not_over_compensation_of_employees_by_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,
24,over_population_nuts2,over_farm_labour_force,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,
25,over_farm_labour_force,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,
26,over_farm_labour_force,not_over_compensation_of_employees_by_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,not_over_participation_in_education_and_training,,,,,
27,over_farm_labour_force,not_over_compensation_of_employees_by_nuts2,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,,,,,
28,over_farm_labour_force,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_causes_of_death_crude_death_rate_3year_average_by_nuts2,not_over_participation_in_education_and_training,,,,,
29,over_utilised_agricultural_area,over_deaths,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_longterm_care_beds_per_hundred_thousand_nuts2,,,,,
30,over_utilised_agricultural_area,not_over_employment_thousand_hours_worked_nuts2,not_over_early_leavers_from_education_and_training_by_sex_percentage_nuts2,not_over_longterm_care_beds_per_hundred_thousand_nuts2,,,,,
31,over_utilised_agricultural_area,not_over_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,not_over_real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2,not_over_longterm_care_beds_per_hundred_thousand_nuts2,,,,,
