"","NUTS","Latitude","Longitude","Cases_density_2","response2","residuals2"
"1","AT11",47.2361,16.2874,0.0389422489097801,-0.126934580039808,-0.145245691891162
"2","AT12",48.2589,15.7601,0.0390378836860939,-0.122417895198664,0.00914066615307452
"3","AT13",48.2028,16.3932,0.0424918283939177,0.0407066532687565,-0.115214199061339
"4","AT21",46.7161,14.4629,0.0491721792361565,0.356209449904648,0.256711771573583
"5","AT22",47.1818,15.5247,0.0415205452525082,-0.00516557031303482,0.178217090313494
"6","AT31",48.143,13.9503,0.0538536743790928,0.577309335960742,0.81264758809061
"7","AT32",47.2823,13.0002,0.0631722211278451,1.01741010749872,0.72181890964019
"8","AT33",47.1809,10.7635,0.0562197578250184,0.689055853754895,0.594372589055786
"9","AT34",47.2366,9.8851,0.0549782318029707,0.630420470478978,0.481431843273774
"10","BE10",50.8401,4.3569,0.0683753976739548,1.2631482117474,0.00419435142507019
"11","BE2",51.1013,4.9852,0.0440825093519285,0.115832092435012,-0.608215246624065
"12","BE3",50.4595,4.8252,0.0778624239802998,1.71120601620952,1.05083706993398
"13","BG31",43.4201,23.8763,0.02672912572426,-0.703741788476613,0.576234439010894
"14","BG32",43.2223,25.593,0.028376753507014,-0.625926837503218,0.162570302011231
"15","BG33",43.3648,27.3512,0.0288818969152421,-0.602069683625841,0.0303187881217852
"16","BG34",42.4799,26.5534,0.0325227147341851,-0.43011940271315,0.496967571663432
"17","BG41",42.3235,23.3357,0.0402309168871105,-0.0660727540093339,-0.300048010828189
"18","BG42",41.7421,25.1669,0.0251572908298558,-0.777977156759789,-0.220585630399245
"22","DE3",52.5005,13.4022,0.0316419906739109,-0.471714658807201,-0.453556566894034
"23","DE4",53.0836,12.1381,0.0280971476585248,-0.639132195909896,-0.181143695526694
"24","DE5",53.1065,8.7877,0.0226995810347004,-0.894051047488418,-0.591346810891927
"25","DE6",53.5392,10.01,0.0237904607544283,-0.842530459648725,-0.48111518494001
"27","DE8",53.7138,12.4675,0.013827793385891,-1.31305206711467,-0.937822260118563
"31","DEC",49.3922,6.957,0.025349406770988,-0.768903813437414,-1.07834857260227
"33","DEE",52.011,11.6996,0.0255250863183678,-0.760606735960642,-0.0914482341646977
"34","DEF",54.0804,9.8212,0.0127231019780127,-1.3652249599516,-0.346383775727729
"35","DEG",50.9044,11.0218,0.0326365041731939,-0.424745300801033,-0.0575730974484607
"36","DK01",55.8618,12.3296,0,-1.96611769010069,-0.0399808911753181
"37","DK02",55.4376,11.7509,0,-1.96611769010069,-0.417719331619564
"38","DK03",55.4038,9.0569,0,-1.96611769010069,-0.447025977658356
"39","DK04",56.2457,9.3996,0,-1.96611769010069,-0.711986726000146
"40","DK05",57.2719,9.953,0,-1.96611769010069,-0.549458846548575
"42","ES11",42.7431,-7.8957,0.0362267038457895,-0.255185637852914,-0.300646624921728
"43","ES12",43.3017,-5.9972,0.0385072514547566,-0.147478847374039,0.0370250435242067
"44","ES13",43.1875,-4.0606,0.0359605623742247,-0.267755094242624,-0.380513832183661
"45","ES21",43.0651,-2.5863,0.0569758507686587,0.724764972013606,0.53925386067329
"46","ES22",42.7117,-1.6508,0.0644911189336323,1.07969964228958,0.808180677627648
"47","ES23",42.3132,-2.4332,0.0712687263991188,1.39979572112736,0.991139592877511
"48","ES24",41.507,-0.6751,0.0616056280645523,0.94342230291604,0.384001828857986
"49","ES30",40.5008,-3.7119,0.0701993814201961,1.3492921863002,-0.0487573052825854
"50","ES41",41.7447,-4.8172,0.0746047881424574,1.55735283670852,0.981263560103849
"51","ES42",39.2748,-3.1358,0.0712780009718639,1.40023374507367,0.641649525937805
"52","ES43",39.1892,-6.1601,0.0608458359346089,0.907538477721803,0.615965612407233
"53","ES51",41.8005,1.5078,0.060547560043009,0.893451361612002,0.0412992982925564
"54","ES52",39.3945,-0.54,0.0705305128445258,1.36493101918446,0.999589975423426
"55","ES53",39.6075,2.9634,0.0416766813273039,0.00220849871673926,-0.270677275350336
"56","ES61",37.4607,-4.5804,0.0526700434520398,0.521408249851799,-0.611038428307433
"57","ES62",37.9999,-1.4907,0.0673739707575875,1.21585234358093,0.988632754316206
"58","ES63",35.8958,-5.3543,0.0508176250222989,0.43392134850108,-0.400473588018257
"59","ES64",35.297,-2.9509,0.0773501592224735,1.68701253183586,0.978558251455688
"60","ES70",28.2457,-16.5646,0.0157063592538552,-1.22433026207714,-1.53254393881404
"64","FR10",48.7196,2.5234,0.00278963844857084,-1.83436731457219,0.36857096919172
