"","NUTS","Cases_density_1","response1"
"2","AT12",0.00220805599045768,-6.11343229555115
"4","AT21",0.00108321322375301,-6.82673964751381
"5","AT22",0.00184532190838378,-6.29325451400773
"6","AT31",0.00287261646980196,-5.84965525221897
"7","AT32",0.00276499346358411,-5.88794818487573
"8","AT33",0.00528355380038383,-5.23785877828676
"11","BE2",0.00681261725213341,-4.98214297875287
"12","BE3",0.00648648619111487,-5.03152669896139
"15","BG33",0.00215273497897002,-6.13886110656934
"16","BG34",0.00145003246705692,-6.53471824694507
"17","BG41",0.00313332633006408,-5.7625218679875
"22","DE3",0.00285107662070843,-5.85720344570213
"23","DE4",0.00148261643138706,-6.51246317638966
"24","DE5",0.00275395550805782,-5.8919592795753
"25","DE6",0.00322262299749953,-5.73433182870192
"27","DE8",0.000608156762665891,-7.40446953413435
"31","DEC",0.00307836662150783,-5.78027302581865
"34","DEF",0.00132586121573553,-6.62436631559823
"35","DEG",0.00165090293421981,-6.40478064071029
"36","DK01",0.00399995016313448,-5.51746540579572
"37","DK02",0.0024302599004728,-6.01732385464657
"38","DK03",0.000856835676413718,-7.06140719758937
"39","DK04",0.00124854863760423,-6.68452416344782
"40","DK05",0.000947560413332972,-6.96067185263424
"42","ES11",0.00430586636828644,-5.44346175105312
"43","ES12",0.00287761593641764,-5.84791136327156
"44","ES13",0.00556158437330439,-5.18629514451928
"45","ES21",0.0106091986891644,-4.53536797584936
"46","ES22",0.0128756803029357,-4.3394557044246
"48","ES24",0.0174775789219692,-4.02920430889226
"49","ES30",0.0147499625022306,-4.20165491357331
"50","ES41",0.010160300203181,-4.57905502135012
"53","ES51",0.0127056427648089,-4.35292202227453
"54","ES52",0.00370466031235504,-5.59445216845036
"55","ES53",0.00421152615168597,-5.46570977103194
"56","ES61",0.00260636750076639,-5.9471880192166
"57","ES62",0.00259756829331988,-5.95057859556682
"59","ES64",0.0025451919548258,-5.97100077106857
"60","ES70",0.00183639458701685,-6.29811301037255
"64","FR10",0.00246526945284475,-6.00298585272956
"65","FRM0",0.000740168908858029,-7.20789169962966
"66","HR03",0.00191876267467947,-6.25415413509653
"67","ITC1",0.00747352777649559,-4.88888653756936
"69","ITC3",0.00692603615101002,-4.96551748094166
"70","ITC4",0.00974460294694584,-4.62124929883483
"71","ITF1",0.00276674129655062,-5.88731450275505
"73","ITF3",0.000954632963495487,-6.95322853386039
"74","ITF4",0.00124806965311303,-6.68490834966236
"76","ITF6",0.000726462560252572,-7.22659688412786
"77","ITG1",0.000794209164993262,-7.13736917471163
"78","ITG2",0.000971692476084638,-6.93549902131709
"79","ITH1",0.00531499463056,-5.23189410796851
"81","ITH3",0.00441307912696784,-5.4187597729255
"82","ITH4",0.00293562678657885,-5.8278943484072
"83","ITH5",0.00686003218104177,-4.97515947577173
"84","ITI1",0.00297409246443181,-5.8148378166296
"85","ITI2",0.00181344917343262,-6.3107095309521
"86","ITI3",0.00467847623278543,-5.36009335879678
"87","ITI4",0.00163472731379328,-6.41464320415846
"89","LV00",0.000695611149697931,-7.27002389352028
"93","NL13",0.00119712689545092,-6.72663300276366
"98","NL32",0.00383674124257213,-5.55928778700871
"99","NL33",0.00466656108393053,-5.36265537968961
"101","NL41",0.00451744178106912,-5.39528174674813
"102","NL42",0.00465180392785184,-5.36583753590006
"103","PT11",0.00551807968924896,-5.19419200106984
"104","PT15",0.00226958572647272,-6.08588579835539
"105","PT16",0.00208588431347346,-6.17047431968717
"106","PT17",0.00993688339773518,-4.60151526521139
"107","PT18",0.00122204275588383,-6.70600864033749
"108","PT20",0.00077019390764263,-7.16809775605326
"109","PT30",0.000527032023095015,-7.54772207542956
"110","RO11",0.0023097797818899,-6.0682906400701
"111","RO12",0.00372079802110396,-5.59008937449267
"112","RO21",0.00506776751254738,-5.27977423898909
"113","RO22",0.00421521845306531,-5.46482973380408
"115","RO32",0.00447415635300917,-5.40495327414976
"116","RO41",0.00302238944644838,-5.79868058691236
"117","RO42",0.00297322013231874,-5.81513204494119
"118","SK01",0.00114099332130611,-6.77471441673846
"121","SK04",0.000477973882229201,-7.64547637850533
"123","FR24",0.000920986886362768,-6.98914334903188
"127","FR51",0.00061753274455593,-7.38916073975068
"128","FR52",0.000408512787164838,-7.80257874517379
"132","FR82",0.00119387535248077,-6.72935607577909
"133","HR04",0.00164731819057259,-6.40695797590194
