geo	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
AT12	18045	19617	21106	22196	22041	22473	22740	23318	24333	27025	31635
AT21	409	427	378	277	256	226	230	195	216	230	210
AT22	926	964	959	915	875	889	956	984	952	1027	1035
AT31	641	642	660	611	545	553	523	432	391	459	430
AT32	1534	1613	1696	1663	1667	1823	1829	1749	1895	1854	1730
AT33	943	1025	996	930	981	988	1001	1011	1090	1124	1151
BE21	125	81	114	110	110	84	195	257	255	282	290
BE24	16785	16980	18613	18815	18985	21754	23269	21769	24776	25637	26287
BE25	151	175	201	204	220	226	260	423	354	407	445
BE32	3919	5181	5883	6506	6776	6425	6945	7291	7688	8017	8197
BE33	351	295	303	296	310	298	295	378	188	164	167
BG33	1212	1200	1165	1210	1302	1372	1382	1669	1947	2264	2069
BG34	1684	1872	2227	2357	2461	2508	2334	2854	2950	3256	2858
BG41	3116	3278	3466	3456	3497	3808	4057	4964	6478	6932	7078
CH01	11176	11752	13010	13790	14330	15059	15688	16448	17269	17590	17829
CH02	95	86	169	258	245	178	175	167	168	137	22
CH04	21911	22849	24311	24788	24853	25451	26249	27627	29356	31070	31476
CH05	73	68	95	116	86	84	92	99	110	113	107
CH07	157	159	165	167	143	136	156	168	136	89	56
CY00	6730	6948	7190	7328	7011	7329	7591	8962	10239	10927	11261
CZ01	11602	11514	11724	10774	10950	11130	11868	12990	15386	16810	17839
CZ04	62	68	96	101	101	82	35	19	20	43	62
CZ05	43	59	59	124	179	145	54	28	85	143	99
CZ06	391	356	525	498	433	457	436	399	459	484	526
CZ08	270	244	246	246	229	266	280	237	312	357	307
DE11	8875	9135	9535	9677	9545	9689	10487	10599	10942	11796	12700
DE12	1130	1215	1107	1278	1054	947	1045	1101	1236	1245	1334
DE13	0	0									
DE14	544	570	539	507	497	550	511	467	456	482	443
DE21	32560	34520	37593	38186	38518	39571	40861	42159	44535	46206	47892
DE22	0	0									
DE24	17	14									
DE25	3928	4020	3934	3569	3294	3237	3352	3449	4161	4436	4087
DE27	806	903	755	867	837	747	869	993	1176	1487	1719
DE30	14133	14966	16892	18148	19576	20669	20995	21245	20451	21991	24223
DE40	6767	7255	7099	7081	6712	7274	8509	11625	12852	12713	11404
DE50	2435	2657	2553	2442	2606	2768	2657	2568	2535	2560	2305
DE60	12178	12884	13527	13675	13482	14739	15581	16191	17589	17198	17274
DE71	50573	52646	56275	57261	57878	59414	60889	60669	64390	69386	70436
DE73	0	0									
DE80	147	171	164	146	122	111		218	263	268	126
DE91	1	2									
DE92	4905	4994	5301	5261	5209	5266	5432	5384	5854	6306	6287
DE94	0	0									
DEA1	20115	21789	22707	23005	23672	23624	24357	25350	26495	25926	26707
DEA2	9696	9786	9597	9256	9051	9418	10313	11879	12366	12937	12351
DEA3	1344	1288	1292	1002	842	878	804	771	949	1007	974
DEA4	937	977	954	861	784	757	765	686	724	730	690
DEA5	1691	1732	1808	1892	1916	1954	1973	1915	1997	2280	2717
DEB1	3738	3454	2830	2651	2585	2380	2597	2515	2358	2012	1396
DEB2	0	0									
DEB3	314	242	208	225	209	201					
DEC0	396	417	411	386	354	351	433	399	373	333	343
DED2	1680	1794	1902	1869	1742	1738	1712	1656	1701	1753	1591
DED5	1834	1810	1834	2088	2129	2295	2304	2177	2347	2555	2606
DEE0	0	0									
DEF0	831	711	522	499	505	318	264	130			
DEG0	256	305	265	171	206	219	224	226	274	260	150
DEZZ	21	17									
DK01	19609	21394	22622	23252	23973	25536	26518	28958	29119	30213	30135
DK02	8	9	13	10	10	7	8	8	7	6	6
DK03	2391	2665	2796	2793	2911	2961	2999	3209	3499	3625	3847
DK04	689	869	880	638	588	545	498	535	515	617	612
DK05	1117	1323	1378	1301	1381	1377	1417	1493	1493	1580	1443
EE00	1341	1381	1908	2202	1959	2020	2161	2215	2635	2996	3258
EL30	16216	15393	14427	12936	12534	15207	18105	20020	21730	24137	25578
EL41	1517	1349	1272	1115	1067	1202	1265	1117	1192	1273	1348
EL42	6527	6785	7795	7335	8156	9210	9643	10065	11312	12003	12312
EL43	6947	6655	7117	7006	7951	8565	8840	9749	10429	10958	10756
EL51	663	593	505	432	391	407	432	437	503	609	556
EL52	4208	3969	4008	4075	4111	5021	5397	5735	6347	6412	6679
EL53	9	6	12	11	12	9	11	14	12	10	8
EL54	138	120	89	71	64	79	87	97	96	109	133
EL61	293	302	361	351	358	402	401	431	450	460	469
EL62	3105	3021	3145	3202	3571	4081	4227	4738	5184	5618	5560
EL63	411	390	387	441	470	519	550	612	717	740	764
EL64	13	5	5	15	20	13	22	16	17	18	17
