geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
AT11	577.56	568.08	566.62	538.96	599.50	606.51	601.63	593.41	602.79	620.24	604.67	587.21
AT12	695.96	695.76	708.29	698.22	701.69	700.72	707.48	701.18	688.49	672.58	673.91	671.36
AT13	790.37	797.71	791.90	802.65	788.07	793.22	799.93	815.66	795.94	783.58	756.47	751.91
AT21	929.79	910.10	899.42	893.65	888.71	877.13	863.93	858.40	836.87	810.00	818.84	803.93
AT22	901.97	899.73	887.94	877.57	871.61	863.65	837.32	827.61	816.83	821.95	815.22	801.30
AT31	734.16	730.27	734.32	731.07	720.67	710.22	694.11	684.49	676.60	689.64	686.75	676.70
AT32	909.52	904.47	908.77	924.55	959.12	952.57	942.54	918.49	918.47	898.13	883.01	869.23
AT33	676.56	679.66	657.57	691.14	699.56	703.24	697.65	681.76	675.15	674.68	669.66	665.33
AT34	570.54	569.47	561.23	598.20	600.11	593.94	590.02	581.33	569.80	562.98	537.63	529.42
BE10	815.48	803.03	773.48	751.80	740.51	731.75	714.43	735.56	726.38	716.30	711.51	706.21
BE21	616.96	588.26	604.41	595.83	591.51	585.93	578.47	575.05	570.43	560.25	553.86	547.31
BE22	528.96	526.78	522.03	517.66	510.20	494.79	494.29	492.03	489.11	485.08	483.36	481.20
BE23	669.09	663.50	652.91	646.65	637.38	632.76	628.71	621.60	615.68	608.44	603.80	598.40
BE24	476.64	471.44	468.23	463.07	451.71	445.89	443.19	433.94	429.96	425.09	423.95	402.85
BE25	719.58	702.57	710.93	708.82	702.09	694.95	692.44	691.73	689.05	683.68	674.19	658.26
BE31	355.34	352.51	347.50	343.75	341.24	338.58	258.79	256.79	252.55	236.63	234.80	235.74
BE32	664.46	662.96	642.22	651.88	648.48	644.22	641.57	638.96	626.24	607.79	606.88	610.60
BE33	625.90	624.61	618.66	612.84	609.55	606.44	602.94	593.45	581.39	570.08	566.43	571.76
BE34	442.53	438.45	433.40	428.11	424.65	422.73	420.78	417.02	413.82	410.09	408.61	405.35
BE35	570.03	565.42	559.02	552.12	548.98	551.74	552.56	550.28	540.46	517.75	514.89	512.68
BG31	630.13	658.99	635.05	639.00	637.56	665.41	685.14	718.00	718.62	769.15	771.43	792.68
BG32	622.69	636.05	601.29	576.01	575.51	611.31	626.24	651.68	635.58	645.45	660.22	674.11
BG33	486.61	503.59	479.09	478.87	467.85	478.56	493.25	518.15	500.39	511.70	529.54	536.38
BG34	623.40	641.60	612.62	563.90	574.26	606.66	641.97	614.37	641.64	656.29	656.97	670.17
BG41	683.43	686.45	661.31	634.80	647.37	654.45	687.82	696.17	690.85	701.04	714.20	739.34
BG42	645.21	676.14	662.33	651.86	681.72	702.75	752.76	772.44	790.14	816.88	824.21	824.74
CH01	549.89	532.38	538.78	541.51	544.55	522.22	521.30	521.42	516.25	512.12	506.11	501.31
CH02	471.13	463.32	474.61	464.53	457.57	449.12	422.04	435.22	429.20	422.96	428.45	426.12
CH03	620.58	612.34	614.66	595.15	594.23	572.95	568.08	549.27	539.70	541.31	538.86	541.62
CH04	528.58	514.75	488.63	468.78	461.55	444.37	439.43	437.11	425.74	427.16	413.38	410.49
CH05	556.58	545.44	601.68	568.73	543.53	538.69	519.01	516.00	522.33	506.94	507.49	498.28
CH06	352.31	347.89	354.02	346.78	334.25	335.06	325.22	327.56	331.75	333.01	333.76	330.39
CH07	569.77	564.88	581.65	554.05	550.55	552.46	546.71	542.21	545.93	552.48	553.28	548.50
CY00	378.45	376.22	356.62	351.17	346.09	340.86	341.58	341.53	342.67	329.60	318.25	311.47
CZ01	958.00	934.06	965.24	922.00	895.74	863.22	863.29	862.21	853.31	841.93	830.15	817.19
CZ02	567.94	575.93	584.64	562.82	559.44	527.19	520.85	516.24	514.96	507.62	508.35	496.72
CZ03	713.14	713.53	737.46	715.07	708.69	679.16	675.97	673.79	663.36	655.18	656.18	669.30
CZ04	671.46	670.01	665.14	647.86	636.02	622.92	621.25	620.43	629.90	632.60	627.02	621.16
CZ05	675.81	683.38	675.18	660.13	651.87	643.56	642.28	641.34	640.04	635.32	636.35	631.07
