geo	2011	2012	2013	2014	2015	2016	2017	2018
AT11	1053.71	1144.86	1114.43	1101.13	1132.96	1093.74	1138.87	1120.95
AT12	975.39	1025.6	1006.2	985.88	1037.66	1009.69	1023.13	1036.91
AT13	906.92	920.96	902.8	871.14	877.9	831.22	842.04	857.68
AT21	974.35	1022.76	1018.22	1004.02	1068.76	1051.22	1069.54	1081.98
AT22	958.8	983.36	961.66	966.59	1036.12	987.32	1027.16	1003.76
AT31	859.39	883.86	912.61	870.58	931.79	871.94	908.73	905.04
AT32	789.53	773.55	807.38	788.93	810.04	799.21	824.07	814.77
AT33	741.18	770.59	771.67	763.13	800.84	773.85	775.13	797.82
AT34	684.39	719	733	706.75	752.81	737.74	770.03	763.32
BE10	771.21	814.58	778.03	742.18	757.11	730.55	724.45	711.34
BE21	894.14	948.33	936.97	895.12	937.7	911.56	932.93	928.47
BE22	794.86	834.79	825.42	797.22	851.45	834.26	851.58	873.74
BE23	949.16	983.21	983.87	922.05	981.09	940.83	954.03	959.53
BE24	871.04	900.88	913.66	871.8	911.5	896.22	897.85	916.16
BE25	1007.09	1041.17	1075.52	1017.17	1063.51	1035.31	1079.78	1086.62
BE31	845.61	887.12	855.92	874.1	917.07	868.23	897.85	872.45
BE32	1101.32	1131.54	1134.49	1084.5	1130.4	1113.92	1088.01	1106.61
BE33	1051.7	1065.53	1055.16	1013.78	1080.55	1041.58	1051.21	1053.44
BE34	933.84	952.29	965.99	893.85	944.78	961.48	951.5	958.9
BE35	999.05	1048.77	1074.23	1010.56	1049.8	1015.82	1030.44	1028.38
BG31	1928.98	1985.94	1829.03	1963.62	1970.59	1953.1	2012.61	1998.32
BG32	1626.26	1661.03	1587.91	1677.79	1689.48	1661.93	1737.52	1753.33
BG33	1353.74	1384.06	1334.94	1391.34	1420.91	1383.01	1424.37	1437.45
BG34	1452.7	1464.76	1422.83	1497.22	1512.39	1466.34	1525.17	1517.16
BG41	1313.31	1334.17	1285.41	1328.1	1347.92	1335.34	1345.06	1343.42
BG42	1391.75	1404.49	1358.31	1430.2	1481.51	1456.81	1503.71	1466.29
CH01	711.17	730.54	731.87	692.33	732.26	692.22	720.24	713.84
CH02	862.76	879.35	882.22	861.52	896.44	859.2	862.4	861.92
CH03	796.57	812.82	812.06	804.23	842.52	799.95	801.72	796.97
CH04	736.95	741.03	753.53	721.68	757.76	716.7	730.6	721.64
CH05	790.78	823.47	802.76	802.51	807.73	788.28	795.61	799.09
CH06	709.34	724.42	731.17	712.37	754.44	700.62	731.05	732.25
CH07	853.44	873.57	881.44	831.39	930.07	837.01	898.76	881.41
CY00	616.77	639.16	598.3	637.53	695.21	642.47	703.88	669.03
CZ01	972.01	990.82	970.05	959.05	975.88	945.86	939.64	945.01
CZ02	989.57	989.67	993.08	936.49	985.93	948.44	981.28	1001.42
CZ03	1013.14	1033.2	1043.28	1001.9	1087.08	1030.73	1061.83	1054.9
