geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
AT11	3289	3434	3562	3707	3793	3917	4084	4299	4439
AT12	22187	23073	23716	24402	25083	26045	26989	28420	29585
AT13	38946	40502	41209	42222	43298	45217	46618	48600	50738
AT21	8220	8495	8745	8945	9140	9357	9616	10103	10478
AT22	19048	19781	20173	20760	21446	22234	23172	24570	25639
AT31	24647	25811	26752	27438	28413	29464	30448	32129	33480
AT32	9923	10392	10749	10991	11330	11778	12185	12752	13298
AT33	11808	12367	12810	13239	13795	14399	14969	15851	16526
AT34	6216	6432	6760	7052	7327	7635	7969	8363	8696
ATZZ	36	37	34	34	35	36	36	39	39
BE10	38111.8	39203.8	39929.2	40468.7	40194.8	40381.4	41228.6	42032.6	43504.3
BE21	34681.9	35829.3	36576.8	36830.7	37615.4	38309.9	39817.7	41362.6	43107.2
BE22	12214.2	12556.1	12830.1	13278	13154.2	13402.6	13892.4	14428.2	14866
BE23	22375.8	23210.8	23688.9	24032.5	24673.9	25418.5	26425.6	27532.8	28420
BE24	20449.7	21409.3	21717.4	22055.3	22413.2	22850.8	23573.3	24359.4	25359.3
BE25	18363	19057.6	19367.2	19700.4	19889.7	20456.3	21170.9	21988.7	22753.9
BE31	6706.7	6922.6	7230.8	7319.3	7497.5	7681.9	7940.8	8302.4	8691.1
BE32	16055.8	16541.4	16829.4	16921.4	17106	17249	18091.6	18259.5	18793.9
BE33	14641.9	15181	15383.7	15496.9	15429.9	15737.9	16369.5	16910.3	17579
BE34	3213.3	3313.7	3324.3	3350.7	3417	3490.8	3612.3	3739.6	3880.6
BE35	6153	6365.7	6509.5	6530.3	6528.8	6689.2	6911.8	7185.6	7381.5
BEZZ	203.8	214.7	218.5	217	207.5	144.9	152.9	198.4	226.2
BG31	1020.45	1045.53	1112.98	1131.45	1188.27	1239.44	1362.05	1505.46	1616.31
BG32	1187.61	1227.77	1322.5	1378.4	1449.87	1549.4	1702.9	1843.34	2006.74
BG33	1535.73	1620.03	1729.05	1819.36	1925.39	2032.25	2241.01	2478.74	2675.14
BG34	1753.48	1820.62	1989.56	2144.5	2162.56	2355.78	2589.39	2806.58	2829.68
BG41	7133.15	7661.97	8265.06	8707.09	9464.44	10227.62	11393.24	12668.12	13981.65
BG42	1973.49	2072.4	2197.78	2331.34	2491.35	2713.99	3014.33	3361.86	3667.83
CY00	9517.37	9375.61	8342.82	7869.96	7896.09	8196.85	8801.69	9441.47	10264.31
CZ01	17809.23	17967.71	17582.26	17233.91	18128.52	19152.59	21387.18	24338.75	26022.28
CZ02	6604.64	6661.5	6532.1	6432.82	6883.28	7439.63	8462.77	9571.61	10492.17
CZ03	6892.64	6928.31	6790.3	6649.55	7057.26	7503.26	8478.39	9430.26	10148.62
CZ04	5456.93	5327.09	5116.63	4968.51	5268.45	5652.18	6313.99	7062.19	7631.28
CZ05	7992.68	7979.92	7777.37	7665.93	8177.39	8810.13	9912.56	11177.68	12109.12
CZ06	10106.79	10135.27	10036.64	9731.91	10364.68	11166.97	12489.67	14066.36	15205.1
