geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
AL01							6000.0	6435.0	6206.0	6378	6276	6288
AL02							6708.0	7498.0	7172.0	7455	7362	7454
AL03							7915.0	8455.0	7990.0	8374	8140	8172
ALXX							33	30	20	25	26	23
AT11	3067.0	2962.0	3048.0	3034.0	3302.0	3220.0	3191.0	3299.0	3215.0	3357	3313	3393
AT12	15616.0	15958.0	15796.0	15855.0	16734.0	16480.0	16237.0	17258.0	16961.0	17280	17605	17449
AT13	15702.0	16332.0	16287.0	15918.0	16404.0	16332.0	16014.0	16526.0	16031.0	16424	16887	16150
AT21	5385.0	5546.0	5577.0	5465.0	5731.0	5718.0	5646.0	6028.0	5961.0	6077	6130	6031
AT22	11725.0	12093.0	11852.0	11668.0	11990.0	11760.0	11867.0	12821.0	12311.0	12833	12593	12691
AT31	11966.0	12349.0	12427.0	12339.0	12698.0	13158.0	12625.0	13653.0	12911.0	13579	13584	13642
AT32	3930.0	4174.0	4162.0	4281.0	4221.0	4414.0	4316.0	4517.0	4490.0	4677	4626	4731
AT33	5191.0	5375.0	5449.0	5328.0	5606.0	5643.0	5624.0	6001.0	5860.0	5930	6137	6237
AT34	2501.0	2592.0	2601.0	2591.0	2750.0	2801.0	2732.0	2970.0	2929.0	3113	3100	3062
BE10	9517.0	9434.0	9445.0	9089.0	9697.0	9406.0	9040.0	9340.0	9074.0	9046	8940	8935
BE21	16086.0	16415.0	16397.0	16052.0	17177.0	17049.0	16389.0	17262.0	16884.0	17385	17415	17023
BE22	6597.0	6673.0	6744.0	6840.0	7210.0	7164.0	6914.0	7438.0	7327.0	7501	7737	7777
BE23	13740.0	13752.0	13793.0	13886.0	14454.0	14532.0	13696.0	14660.0	14173.0	14461	14621	14607
BE24	9523.0	9552.0	9685.0	9588.0	10011.0	10178.0	9780.0	10286.0	10185.0	10268	10561	10349
BE25	11814.0	11940.0	11984.0	11863.0	12293.0	12716.0	12082.0	12653.0	12361.0	12927	13072	12671
BE31	3443.0	3243.0	3311.0	3301.0	3487.0	3375.0	3492.0	3673.0	3503.0	3649	3558	3489
BE32	14968.0	14834.0	14730.0	14677.0	15170.0	15252.0	14602.0	15285.0	15096.0	14751	15027	14755
BE33	11469.0	11358.0	11593.0	11579.0	11809.0	11706.0	11274.0	12074.0	11687.0	11819	11868	11412
BE34	2603.0	2550.0	2617.0	2583.0	2660.0	2706.0	2520.0	2677.0	2750.0	2726	2762	2664
BE35	4827.0	4758.0	4853.0	4834.0	5108.0	5250.0	4966.0	5193.0	5057.0	5133	5132	5101
BG31	17042.0	16639.0	16990.0	16352.0	16546.0	15046.0	15897.0	15717.0	15315.0	15495	15123	15107
BG32	14535.0	14002.0	14424.0	14077.0	14203.0	13482.0	14114.0	14037.0	13651.0	14130	14058	13725
BG33	13621.0	13282.0	13655.0	13177.0	13413.0	12961.0	13445.0	13690.0	13295.0	13625	13700	13482
BG34	16145.0	15905.0	16348.0	15738.0	15768.0	15277.0	16020.0	16114.0	15547.0	16073	15910	15831
BG41	28006.0	27849.0	27853.0	28243.0	28607.0	27589.0	28508.0	28933.0	28610.0	28745	28654	28739
BG42	21174.0	20391.0	20895.0	20671.0	20744.0	19990.0	20968.0	21626.0	21162.0	21723	21081	21199
CH01	10688.0	10893.0	10889.0	10753.0	11184.0	11361.0	10935.0	11730.0	11245.0	11850	11859	11721
CH02	14918.0	15334.0	15387.0	15316.0	15743.0	15957.0	15739.0	16545.0	16005.0	16246	16254	16328
CH03	8302.0	8730.0	8719.0	8643.0	8906.0	8990.0	9014.0	9542.0	9181.0	9296	9303	9541
CH04	10163.0	10170.0	10296.0	10280.0	10500.0	10792.0	10521.0	11156.0	10716.0	11076	11062	11305
CH05	9040.0	8995.0	8999.0	8818.0	9286.0	9140.0	9220.0	9362.0	9216.0	9362	9469	9723
CH06	5327.0	5493.0	5388.0	5384.0	5556.0	5664.0	5585.0	5977.0	5613.0	5911	5989	5924
CH07	2795.0	2861.0	2971.0	2897.0	2998.0	3057.0	2924.0	3294.0	2988.0	3230	3152	3238
CY00	5194.0	5182.0	5103.0	5504.0	5665.0	5141.0	5424.0	5859.0	5471.0	5996	5768	6239
CZ01	12269.0	12365.0	12266.0	12092.0	12411.0	12149.0	12118.0	12420.0	12141.0	12199	12417	12178
CZ02	12255.0	12722.0	12440.0	12621.0	12752.0	12924.0	12301.0	13049.0	12695.0	13248	13687	13471
CZ03	12132.0	12326.0	12232.0	12262.0	12507.0	12665.0	12189.0	13240.0	12596.0	12994	12972	13241
CZ04	11832.0	12047.0	12009.0	11921.0	12031.0	12463.0	11997.0	12506.0	12225.0	12578	12829	12613
CZ05	14908.0	15227.0	15124.0	15341.0	15614.0	15733.0	15083.0	15834.0	15300.0	15879	16257	16066
CZ06	16143.0	16675.0	16671.0	16497.0	16932.0	16758.0	16279.0	17284.0	16735.0	17563	17819	17826
CZ07	12435.0	12814.0	12809.0	12730.0	12794.0	13184.0	12581.0	13290.0	12925.0	13422	13290	13205
CZ08	12974.0	13245.0	13293.0	13384.0	13148.0	13284.0	13117.0	13550.0	13133.0	13560	13649	13762
DE11	35379.0	35480.0	36266.0	35616.0	36846.0	37413.0	36413.0	39487.0	38803.0	39888	40508	40521
DE12	25571.0	26443.0	26478.0	26214.0	26573.0	27035.0	26630.0	28528.0	28416.0	28985	29517	29642
DE13	19915.0	20002.0	20211.0	19994.0	20721.0	21304.0	21254.0	22478.0	22219.0	22630	23127	23261
DE14	15566.0	15631.0	15852.0	15908.0	16444.0	16195.0	16366.0	17573.0	17192.0	17617	17982	18158
DE21	37781.0	38180.0	38608.0	38433.0	39288.0	39561.0	38878.0	41827.0	40858.0	42105	42036	42592
DE22	11787.0	12323.0	12067.0	12248.0	12357.0	12537.0	12571.0	13444.0	12925.0	13366	13300	13290
DE23	11134.0	11064.0	11151.0	11041.0	11427.0	11549.0	11278.0	12202.0	11776.0	11945	12442	12093
DE24	12480.0	12553.0	12545.0	12325.0	12775.0	12777.0	12308.0	13350.0	12856.0	13403	13428	13002
DE25	17306.0	17462.0	17695.0	17803.0	17941.0	18185.0	17898.0	19266.0	18659.0	19456	19478	19484
DE26	13078.0	13285.0	13349.0	13383.0	13690.0	14054.0	13484.0	14575.0	13988.0	14648	14818	14347
DE27	17543.0	17627.0	17674.0	17722.0	17970.0	18240.0	17712.0	18872.0	18490.0	18979	19307	19505
DE30	31911.0	31713.0	32234.0	31380.0	32218.0	32792.0	32314.0	34278.0	34051.0	34339	35900	34739
DE40	26807.0	27309.0	27894.0	27851.0	28403.0	29678.0	28990.0	30750.0	30790.0	31778	32684	32027
DE50	7353.0	7655.0	7510.0	7411.0	7487.0	7890.0	7437.0	7811.0	7732.0	7905	8068	7704
DE60	17091.0	17188.0	17060.0	17060.0	17012.0	17258.0	16780.0	17565.0	17267.0	17640	18168	17474
DE71	35316.0	35711.0	35704.0	35838.0	36591.0	37811.0	36360.0	39631.0	37996.0	39364	39794	39710
DE72	10784.0	10752.0	10750.0	10636.0	10998.0	11227.0	10900.0	11859.0	11393.0	12049	11927	11980
DE73	13983.0	14213.0	13750.0	13972.0	14268.0	14855.0	13923.0	15044.0	14692.0	14924	15446	14979
DE80	17818.0	18342.0	18738.0	18572.0	18912.0	19830.0	18918.0	20315.0	20445.0	20736	21948	21702
DE91	18542.0	18477.0	18673.0	18291.0	18585.0	19552.0	18918.0	20050.0	20410.0	20148	20531	19991
