geo	2016	2017	2018	2019	2020
AT11					
AT12	5.9	8.3	5.1	4.6	7.7
AT13	8.7	9.6	10.8	12.3	10.6
AT21					
AT22	5.4	4.5	5.0	6.7	5.7
AT31	6.2	8.4	8.9	7.5	7.5
AT32				7.5	9.6
AT33	8.6	7.0	6.8	7.2	7.8
AT34					
BE10	14.8	12.9	10.7	11.8	9.7
BE21	8.3	7.7	9.0	7.3	8.3
BE22	4.5	5.4	7.6	6.3	7.5
BE23	8.1	9.4	8.2	6.2	5.7
BE24	5.5	4.5	5.5	5.9	5.3
BE25	5.8	7.5	5.2	4.7	6.6
BE31				7.8	
BE32	12.7	12.2	11.9	11.8	12.7
BE33	11.6	11.3	11.1	11.9	9.0
BE34				8.7	10.5
BE35	7.9	11.7	8.9	10.1	8.6
BG31	27.7	21.6	19.8	22.9	20.0
BG32	14.0	14.3	11.0	7.5	12.7
BG33	14.1	12.7	16.5	18.7	12.5
BG34	21.2	22.0	22.6	27.2	24.4
BG41	5.7	4.7	4.7	5.6	5.2
BG42	16.4	15.9	15.8	16.3	15.1
CH01	6.9	6.9	7.7	5.4	3.7
CH02	4.1	3.9	3.4	4.0	4.6
CH03	3.7	4.4	4.1	4.3	5.7
CH04	4.7	3.7	4.1	4.9	4.1
CH05	3.9	3.5	3.6	3.3	1.4
CH06	6.6	3.6	2.1	3.5	4.6
CH07	4.1	4.5		6.3	4.1
CY00	7.6	8.5	7.8	9.2	11.5
CZ01	3.5	1.6	2.7	1.9	2.4
CZ02	4.3	6.6	4.7	4.3	6.4
CZ03	7.5	7.6	5.0	7.2	7.5
CZ04	13.8	15.6	17.1	15.5	17.4
CZ05	6.9	6.0	5.8	6.6	7.3
CZ06	3.2	4.6	4.9	4.8	4.2
CZ07	7.1	6.4	4.4	4.9	7.3
CZ08	8.2	6.6	6.4	9.8	9.6
DE11	9.6	8.6	9.9	11.1	9.7
DE12	9.3	9.0	10.1	8.3	
DE13	10.9	9.9	11.4	8.2	
DE14	6.9	6.7	6.8	7.9	
DE21	7.1	6.7	6.4	7.1	11.3
DE22	8.1	5.4	5.2	7.2	
DE23	9.0		7.9	7.7	
DE24	5.9	6.8	8.5	7.8	
DE25	8.9	9.3	9.4	10.1	
DE26	8.2	7.5	6.7	7.2	
DE27	7.1	8.3	7.3	6.9	
DE30	11.7	13.2	13.6	11.6	10.6
DE40	11.0	12.4	11.6	10.8	
DE50	10.9	11.1	14.6	16.0	
DE60	12.7	11.2	11.0	13.2	
DE71	11.4	10.7	10.6	10.3	11.4
DE72	8.4	9.4	11.3	8.8	
DE73	9.8	8.9	11.0	11.6	
DE80	13.5	9.7	11.1	11.5	
DE91	9.7	10.5	10.0	10.1	
DE92	14.2	12.8	10.8	12.9	
DE93	12.9	12.2	11.2	12.4	
DE94	11.4	10.0	12.0	12.0	
DEA1	11.8	13.6	13.4	12.1	10.4
DEA2	9.9	11.0	12.3	10.7	10.2
DEA3	12.4	10.6	10.9	9.7	
DEA4	11.7	10.4	10.0	9.5	
DEA5	11.8	11.3	11.9	12.7	13.2
DEB1	12.7	12.6	13.9	9.6	
DEB2	11.6			13.4	
DEB3	11.2	12.0	11.1	12.5	
DEC0	10.3	11.7	12.0	11.7	
DED2	6.7	9.0		7.8	
DED4			8.3	9.0	
