geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
AT11	193980	191560	193020	194820	193260	197610	200590	202740	205410
AT12	1149380	1127730	1130620	1130910	1129870	1146040	1156370	1180240	1205580
AT13	1559780	1570100	1555140	1570160	1563840	1599810	1623440	1660910	1702170
AT21	443420	437880	430050	433080	426680	434450	437620	438850	443750
AT22	1004850	989700	979230	980690	967430	990950	1000570	1023970	1032970
AT31	1174880	1179330	1170340	1167880	1170260	1196670	1204290	1226370	1242720
AT32	505990	509660	505220	503140	501000	511850	515200	524550	527220
AT33	632070	631840	629000	628850	629860	644710	650740	665000	676430
AT34	291850	290440	293180	297040	296160	301960	306630	311110	313900
ATZZ	1290	1240	1140	1140	1130	1130	1100	1140	1140
BE10	1059934.1	1065967.1	1063834.9	1065827.1	1059300.8	1060949.9	1071105.3	1083673.4	1097348.6
BE21	1256606	1258744	1253268.5	1251096.7	1259256.8	1269764.9	1291809.4	1314883.4	1353765.2
BE22	524583.8	518558.1	517190.8	525156	530349.2	541040.8	550758.5	557313.3	562768.9
BE23	914252.9	916572.6	920753.5	922674.5	932903.8	944638.8	967606.6	993897.9	1007513.3
BE24	707108.3	716955.4	713091.7	718500.5	726963.7	738003.4	750264.9	763080.9	773908
BE25	846679.6	843737.5	839508.8	839534	837063.3	853420.6	876296.6	888691.5	892408.7
BE31	243354.4	244937.2	244406.7	245878.2	249543.2	254761.3	261293.5	266902.3	268012.8
BE32	680513.6	680794.2	670467.5	665372.5	671222.8	678150.2	685996.1	693108.5	700241.3
BE33	585242.5	588610.6	587930.3	586169.5	585632.1	590039.8	600900.7	606101.5	617111.3
BE34	146484.7	148578.2	149741.3	150968.9	150976.6	153642.2	156847.6	157300.6	158027
BE35	271184.7	269747.5	264299.8	263637.1	266997.4	271754.4	277136.4	282921.6	284509.1
BEZZ	4392.5	4545.3	4234.1	4308.3	4147.6	3127.8	3208	3751	3949.5
BG31	522648.76	514159.71	509428.06	512350.5	490286.48	481976.33	489171.96	490433.88	483662.3
BG32	615149.63	595065.09	593837.26	596662.14	577605.32	588905.46	591889.01	574486.27	581839.85
BG33	704601.04	695805.64	697060.52	718640.62	721569.46	707372.87	709142.66	713057.09	704164.48
