geo	2016	2017	2018	2019	2020
AT11	1160.00	1190.00	1231.00	1277.00	
AT12	7624.00	7660.00	7795.00	7919.00	
AT13	12628.00	12865.00	12865.00	13078.00	
AT21	2571.00	2608.00	2699.00	2722.00	
AT22	6187.00	6333.00	6436.00	6489.00	
AT31	6053.00	6136.00	6230.00	6339.00	
AT32	3022.00	3086.00	3148.00	3236.00	
AT33	3976.00	4083.00	4226.00	4452.00	
AT34	1595.00	1635.00	1707.00	1712.00	
BE10	4583.00	4601.00	4697.00	4760.00	
BE21	4779.00	4852.00	4961.00	5062.00	
BE22	2149.00	2171.00	2205.00	2254.00	
BE23	4197.00	4231.00	4363.00	4452.00	
BE24	4471.00	4512.00	4600.00	4716.00	
BE25	3016.00	3022.00	3071.00	3144.00	
BE31	1991.00	2038.00	2067.00	2130.00	
BE32	3418.00	3396.00	3437.00	3415.00	
BE33	3869.00	3888.00	3960.00	3990.00	
BE34	650.00	649.00	652.00	667.00	
BE35	1711.00	1709.00	1749.00	1753.00	
BG31	3314.00	3339.00	3307.00	3299.00	
BG32	2605.00	2599.00	2625.00	2595.00	
BG33	3604.00	3633.00	3671.00	3687.00	
BG34	3581.00	3581.00	3570.00	3515.00	
BG41	9198.00	9332.00	9339.00	9334.00	
BG42	5621.00	5704.00	5714.00	5687.00	
CH01	7781.00	7932.00	8091.00	8178.00	8269.00
CH02	7063.00	7243.00	7355.00	7438.00	7537.00
CH03	5127.00	5186.00	5281.00	5317.00	5447.00
CH04	7693.00	7818.00	7934.00	7978.00	8061.00
CH05	3967.00	4073.00	4103.00	4125.00	4212.00
CH06	2458.00	2526.00	2576.00	2633.00	2694.00
CH07	1503.00	1546.00	1600.00	1631.00	1691.00
CY00	3209.00	3325.00	3544.00	3768.00	
CZ01			9607.00	9692.00	
CZ02			3659.00	3652.00	
CZ03			4591.00	4647.00	
CZ04			3627.00	3627.00	
CZ05			5223.00	5318.00	
CZ06			7200.00	7321.00	
CZ07			4594.00	4624.00	
CZ08			4418.00	4518.00	
DK01	8495.00	8683.00	8961.00		
