geo	2015	2016	2017	2018	2019
AT	147073	142077	143657	146687	145134
AT11	4001	3887	3889	3810	4061
AT12	23028	21716	21585	21247	21335
AT13	29197	27749	28671	29354	28651
AT21	11636	11155	10799	10855	10423
AT22	24046	23745	24045	24310	24786
AT31	26270	25474	25944	27667	26745
AT32	7986	8234	8173	8895	8365
AT33	15578	15092	15738	15505	15812
AT34	5331	5025	4813	5044	4956
BE			152278	160463	157455
BE10			15450	16529	16525
BE21			24593	25780	25780
BE22			11961	12159	12159
BE23			21079	22934	22934
BE24			12422	13222	13222
BE25			18641	19645	19645
BE31			4036	4044	4044
BE32			19329	20329	20333
BE33			15290	15678	15678
BE34			3212	3617	3617
BE35			6265	6526	6526
BG	223661	212770	218498	222124	229217
BG31	33652	31444	31568	30834	31503
BG32	30607	29954	30366	30164	31437
BG33	19656	18007	19546	20091	21397
BG34	27202	26071	27403	28186	29214
BG41	57117	54629	55398	58119	59824
BG42	55427	52665	54217	54730	55842
CH	84394	85002	87148	90734	90289
CH01			17779	18587	18981
CH02			18184	18597	17736
CH03			13961	14749	14693
CH04			13929	14653	14772
CH05			12025	12211	12135
CH06			6043	6458	6416
CH07			5227	5479	5556
CY	6522	6157	6838	6619	7418
CZ	140986	131443	134739	134483	128410
CZ01	15723	15070	15030	15134	14562
CZ02	14365	13191	13822	13782	12712
CZ03	16583	15811	16525	16462	15380
CZ04	15232	14332	14740	14720	13744
CZ05	19156	17424	17810	17796	17501
CZ06	22715	20977	21103	21348	20746
CZ07	18219	16934	18055	17613	16900
CZ08	18993	17704	17654	17628	16865
DE	1341781	1319421	1351106	1360673	
DE1	151170	147657	152448	151406	
DE2	196788	188779	196168	197936	
DE30	53261	52324	53254	53863	
DE40	36689	36711	37975	37947	
DE50	15603	15206	15649	15193	
DE60	33803	33340	33134	33119	
DE7	93235	91830	94824	93154	
DE80	41323	40165	41449	41652	
DE9	129693	127807	130651	130515	
DEA	314270	314695	319005	326052	
DEB	61847	60627	61902	61943	
DEC0	17849	17307	16991	18195	
DED	63173	62069	62758	63688	
DEE0	44631	42947	44487	44294	
DEF0	48916	48988	49851	50503	
DEG0	39530	38969	40560	41213	
DK	82069	81712			
DK01	29053	28694			
DK02	12347	12169			
DK03	16071	16125			
DK04	17037	16990			
DK05	7561	7734			
EE	19471	18884	18106	18101	17572
EL	138743				
ES	426914	586945	594741	635132	600088
ES1	48569		67281	70553	67638
ES11	30278	42208	42536	45875	43825
ES12	12611	17088	17730	17387	16936
ES13	5680	6991	6999	7287	6864
ES2	45201		61339	65037	60139
ES21	22947	30033	30391	32935	30452
ES22	5780	8471	8009	8125	7819
ES23	3504	4933	5055	5206	4822
ES24	12970	16565	17884	18764	17038
ES3					0
ES30	63428	89027	90517	93568	93763
ES4	55223		74429	80537	76927
ES41	26541	34386	33598	39128	37640
ES42	17346	25568	25914	26435	24620
ES43	11336	15026	14920	14968	14673
ES5	135212		190931	206306	191269
ES51	79914	114188	112779	123067	111764
ES52	43374	59338	61109	64922	62636
ES53	11915	16265	17039	18315	16863
ES6	65153		88025	95038	88155
ES61	51475	66886	68795	74637	69747
ES62	12951	17778	17969	19154	17258
ES63	394	665	609	627	544
ES64	333	518	649	613	608
ES7					0
ES70	14093	21013	22214	24076	22163
FI	79536	82011	79115	79483	
FR	708059	714297	712126	734934	726300
FR10	119171	120816	118348	120593	120745
FR21	14878	15022			
FR22	23850	24180			
