geo	2015	2016	2017	2018	2019
AL01					78.7
AL02					81.6
AL03					77.4
AT11	81.2	81.4	81.5	81.5	81.9
AT12	81.0	81.4	81.6	81.5	81.7
AT13	80.4	80.9	80.8	80.6	81.1
AT21	81.4	81.8	81.9	81.6	82.2
AT22	81.3	82.1	81.8	82.2	82.2
AT31	81.5	82.2	82.0	82.2	82.3
AT32	82.4	82.7	82.4	82.9	82.8
AT33	82.4	82.8	83.2	83.0	83.0
AT34	82.4	82.7	82.4	82.9	83.3
BE10	80.9	81.3	81.2	81.5	81.6
BE21	82.0	82.4	82.4	82.5	83.0
BE22	82.5	82.9	83.1	83.1	83.3
BE23	81.5	82.2	82.2	82.3	82.6
BE24	82.5	82.9	83.0	83.0	83.4
BE25	82.0	82.7	82.4	82.6	83.2
BE31	81.7	82.4	82.1	82.7	83.0
BE32	78.6	78.8	79.4	79.1	79.6
BE33	79.4	80.0	79.9	80.0	80.6
BE34	80.1	79.9	80.3	80.6	80.6
BE35	79.3	79.7	79.7	79.9	80.3
BG31	73.5	73.3	73.5	73.6	73.7
BG32	74.1	74.4	74.2	74.4	74.6
BG33	74.4	74.8	74.7	74.7	75.0
BG34	74.3	74.4	74.3	74.4	74.5
BG41	75.6	75.7	75.7	75.9	76.0
BG42	74.8	75.3	75.2	75.5	75.6
CH01	83.4	84.2	83.9	84.2	84.6
CH02	82.6	83.1	83.1	83.3	83.6
CH03	82.8	83.6	83.8	83.9	84.0
CH04	83.2	83.9	83.8	84.0	84.0
CH05	82.9	83.4	83.5	83.6	83.6
CH06	83.1	84.0	84.0	84.0	84.4
CH07	83.7	85.0	84.4	85.2	85.0
CY00	81.8	82.7	82.2	82.9	82.3
CZ01	80.3	80.6	80.8	80.8	81.0
CZ02	78.8	79.2	79.1	79.0	79.4
CZ03	78.5	79.3	79.2	79.2	79.5
CZ04	76.9	77.2	77.1	77.2	77.7
CZ05	79.1	79.6	79.5	79.4	79.7
CZ06	79.5	79.9	79.7	79.7	79.9
CZ07	78.6	78.9	78.9	79.1	79.3
CZ08	77.5	78.0	77.8	78.0	77.9
DE11	81.9	82.2	82.3	82.3	82.6
DE12	81.4	81.6	81.6	81.7	81.8
DE13	81.9	82.0	82.2	82.2	82.3
DE14	82.0	82.2	82.2	82.5	82.4
DE21	82.1	82.5	82.5	82.7	82.8
DE22	80.4	81.0	80.9	81.1	81.4
DE23	80.5	80.9	81.0	80.9	81.3
DE24	80.1	80.7	80.5	80.6	81.2
DE25	80.6	81.1	81.0	81.0	81.3
DE26	81.3	81.7	81.7	81.6	82.1
DE27	81.6	81.9	82.0	82.1	82.1
DE30	80.5	80.9	81.2	80.8	81.5
DE40	80.3	80.7	80.7	80.7	81.2
DE50	79.8	80.1	80.1	79.7	80.7
DE60	80.9	81.2	81.1	81.1	81.5
DE71	81.3	81.9	81.8	81.8	82.1
DE72	80.6	81.1	80.6	80.9	81.0
DE73	80.4	81.0	81.1	80.8	81.3
DE80	79.9	80.1	80.4	79.9	80.3
DE91	80.2	80.1	80.3	80.3	80.6
DE92	80.3	80.8	80.6	80.5	81.0
