geo	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
AT11														636.08		638.00		688.48	739.60	747.03	744.75	730.84					
AT12														538.26		552.74		567.90	531.63	555.77	556.84	558.39					
AT13														559.69		540.56		534.98	588.67	548.47	542.02	521.17					
AT21														563.54		563.43		853.73	953.49	955.89	979.70	1011.38					
AT22														864.66		857.42		1132.49	1130.90	1159.90	1163.74	1167.49					
AT31														825.60		841.57		845.12	873.05	868.42	861.00	856.87					
AT32														970.29		982.74		968.06	994.35	1010.80	985.56	965.31					
AT33														561.39		611.05		635.03	813.89	824.09	834.89	816.01					
AT34														516.89		527.94		550.10	609.26	594.98	613.14	627.43					
BE10																	1367.28	1328.35									
BE21																		1095.98									
BE22																		774.62									
BE23																		1223.23									
BE24																		1016.51									
BE25																		1277.38									
BE31																		1140.84									
BE32																		1509.98									
BE33																		1372.54									
BE34																		1139.87									
BE35																		1200.26									
BG31							85.09	87.39	70.76	71.94	72.54	73.68	75.62	74.51	81.91	86.44	89.90	87.49	88.79	56.55	57.48	52.12					
BG32							73.00	75.20	65.41	66.27	66.88	67.50	64.63	65.24	68.10	74.05	79.46	79.97	74.68	51.30	51.16	19.50					
BG33							79.75	80.04	77.90	78.39	83.68	86.46	87.72	88.94	76.93	81.60	82.03	87.64	88.05	58.26	55.03	38.01					
BG34							73.77	74.72	70.68	73.60	74.08	73.86	74.36	69.60	66.12	66.93	67.79	68.60	64.65	50.66	55.04	58.64					
BG41							30.10	30.42	29.46	30.04	31.24	29.29	31.40	30.25	31.35	35.62	37.63	38.83	39.15	30.03	34.42	28.97					
BG42							41.65	42.70	38.61	38.86	40.68	41.63	42.31	42.77	47.02	48.33	48.66	48.25	46.63	34.02	29.73	15.82					
CH01						771.56	845.99	836.75	827.60	811.65	804.03	794.36	825.73	847.87	852.87	859.64	866.56	872.86	859.63	862.38	857.40	862.14					
CH02						1251.32	1264.49	1277.77	1277.85	1244.40	1253.15	1269.04	1329.64	1336.23	1335.73	1350.73	1314.38	1310.50	1292.81	1290.03	1288.79	1270.55					
CH03						1057.10	1041.06	1036.76	1043.38	1038.38	1048.54	1052.69	1042.56	1090.11	1080.63	1088.39	1072.45	1061.41	1070.18	1078.04	1090.88	1102.73					
CH04						1238.80	1224.70	1234.33	1253.60	1256.74	1253.89	1256.47	1270.96	1278.27	1263.87	1251.03	1222.52	1238.71	1243.43	1230.86	1239.32	1239.85					
CH05						1403.73	1391.09	1378.17	1407.69	1401.63	1392.84	1393.39	1365.24	1372.69	1369.70	1366.85	1361.79	1351.66	1347.51	1356.59	1346.70	1341.57					
CH06						1284.81	1244.68	1239.81	1230.70	1233.03	1249.26	1262.08	1214.01	1216.22	1201.30	1185.71	1180.65	1192.68	1218.70	1224.54	1214.91	1217.29					
CH07						1362.99	1307.55	1265.37	1258.71	1252.35	1279.25	1273.11	1241.80	1214.82	1232.09	1230.60	1252.33	1249.45	1228.42	1207.80	1197.01	1192.92					
CZ01																325.35	366.81	367.73	371.48	379.28	368.78	383.61					
CZ02																648.45	661.17	664.85	663.98	692.79	698.80	725.84					
CZ03																692.46	707.38	703.47	721.59	718.17	729.22	744.66					
CZ04																854.67	862.18	862.93	877.56	914.58	889.23	851.99					
CZ05																608.53	610.04	621.49	634.04	627.70	672.75	673.58					
CZ06																643.63	643.04	638.62	646.38	673.19	686.11	686.02					
CZ07																783.25	787.59	804.71	810.28	818.97	825.41	853.23					
CZ08																684.97	691.36	699.22	692.74	700.04	708.26	701.36					
EE00					426.86	433.32	440.74	443.22	457.44	462.93	477.07	502.86	526.81	549.91	580.83	607.79	631.19	650.93	699.48	787.18	828.83	861.25					
EL30																	21.55	22.25	21.49	23.15	23.42	23.57					
EL42																		25.68	23.45	24.20							
EL43																	26.11	5.70	17.63	37.27	9.82	18.36					
ES11									86.36	101.89	258.02	251.87	317.18	315.52	296.24	316.05	209.85	770.39	807.68	707.51	775.03	817.79					
ES12									147.97	163.19	163.84	163.97	222.55	231.06	258.92	263.95	359.37	1330.67	1352.13	1389.43	1411.29	1393.08					
ES13									207.54	205.58	259.80	422.63	584.03	541.34	583.94	581.94	886.19	1068.30	957.87	941.31	954.27	965.66					
ES21									173.28	183.80	282.40	247.93	271.26	275.68	262.94	337.48	618.66	830.36	1078.25	827.04	944.82	926.44					
ES22									157.97	155.58	379.14	493.45	500.11	182.29	557.19	582.55	266.05	955.46	909.33	912.81	1033.90	1039.45					
ES23									205.10	218.42	192.20	194.90	283.00	279.60	276.98	328.72	942.36	979.94	959.67	958.87	977.11	1027.48					
ES24									115.22	119.92	280.30	381.09	393.17	633.54	271.05	305.93	618.89	1376.08	1292.63	1245.42	1298.41	1158.27					
ES30									141.42	152.82	177.94	203.04	236.86	273.42	291.49	310.97	334.53	790.30	776.70	795.58	816.18	815.68					
ES41									117.60	134.21	851.59	927.98	933.25	992.14	1023.38	1171.05	1262.02	1748.15	1735.16	1780.84	1826.58	1141.96					
ES42									179.01	176.62	237.13		328.26	393.90	983.69	1136.77	1205.42	1249.19	1222.57	1238.53	1332.97	2226.85					
