geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
AL01	2214.58	2297.46	2276.67	2290.45	2418.75	2549.18	2707.01	2954.85	3166.95
AL02	4195.2	4294.6	4319.08	4535.08	4837.09	5050.74	5640.06	6327.54	6789.01
AL03	2858.55	2993.75	3029.61	3143.07	3008.27	3119.93	3211.98	3545.66	3796.81
AT11	7012.58	7365.43	7539.32	7737.13	8040.55	8351.77	8717.79	8964.81	9243.97
AT12	48511.32	49802.6	50470.13	52049.38	53884.36	55570.82	58207.93	60466.27	62894.11
AT13	80747.85	81981.67	83117.69	84749.77	87284.43	91942.33	92880.63	97183.81	100107.17
AT21	17548.27	17771.87	17907.85	18419.82	18717.18	19093.92	19910.2	20887.29	21475.27
AT22	39466.78	40956	41303.53	42710.57	43721.27	45542.87	47499.91	48781.03	50869.79
AT31	52574.13	53978.67	55424.89	57136.85	58650.83	60754.1	63010.29	66148.87	67981.53
AT32	22947.39	23886.5	23965.79	24504.84	25603.96	26805.49	27652.5	28690.51	29701.08
AT33	26948.49	28190.68	28939.63	29853.47	31193.44	32355.39	33386.62	34848.71	36165.82
AT34	14241.7	14583.63	15116.8	15860.95	17040.9	17060.08	17964.82	19318.37	18942.19
ATZZ	130.15	134.86	124.57	124.41	131.19	130.06	130.07	134.29	135.38
BE10	71211.62	73165.33	73996.67	76063.94	78923.78	80108.98	82314.49	84232.03	87576.66
BE21	70963.63	73214.58	74425.63	76009.28	79399.75	82310.74	85100.52	87895.13	91512.27
BE22	23653.28	24132.91	24499.43	25492.15	25879.69	26789.9	27852.67	28739.62	29472.91
BE23	44795.55	46065.4	47151.27	47919.5	50199.86	52023.45	54308.23	55639.34	57437.64
BE24	39327.9	41014.57	41804.6	42760.78	44547.34	46548.73	48166.77	49943.43	51963.83
BE25	37824.86	38997.91	39936.97	41053.13	42102.62	43727.76	45215.16	46626.78	48406.8
BE31	13791.38	14535.3	15209.17	15884.31	16274.61	17319.76	18178.64	20145.51	22741.14
BE32	29362.42	29696.97	29983.23	30746.54	31410.76	32056.09	32997.59	34248.11	34857.9
BE33	27199.42	27373.34	27672.53	28371.54	28876.29	29694.63	30787.02	31720.81	32768.18
BE34	6119	5984.85	6047.09	6301.73	6481.34	6604.05	6846.85	7069.69	7329
BE35	11465.28	11726.41	11881.71	12130.92	12346.72	12720.25	13090.9	13520.52	13817.71
BEZZ	253.47	267.14	271.68	269.46	258.64	180.98	191.26	248.42	276.66
BG31	3006.43	3002.76	2956.04	3060.45	3089.26	3223.61	3540.12	3937.48	3960.85
BG32	3271.94	3404.68	3427.02	3555.62	3640.55	3799.2	4050.61	4314.87	4583.43
BG33	4439.23	4598.21	4571.71	4779.25	4977.56	5176.46	5543.28	5970.66	6340.51
BG34	4940.61	5193.16	5215.8	5453.78	5598.57	6343.43	6762.27	6793.99	6857.9
BG41	20002.65	20021.94	19921.51	20317.16	22018.71	23400.78	25287.1	27240.25	31099.15
BG42	5818.05	6036.07	5958.15	5859.77	6487.69	6829.64	7347.88	7967.4	8716.21
CY00	19803.03	19440.78	17994.97	17430.16	17883.96	18929.34	20245.26	21612.6	23009.94
CZ01	43101.45	42458.38	41988.34	41425.82	45136.87	47541.94	51888.71	57669.77	61589.27
CZ02	18103.7	18016.22	17388.07	17627.86	18960.62	20374.23	22455.76	23915.96	26749.55
CZ03	16374.32	16040.55	15953.31	15692.96	16685.17	17373.29	19109.2	20610.87	21832.23
CZ04	13227.24	12968.18	12500.61	12112.23	13057.51	13178.1	14268.07	15111.63	16277.07
CZ05	19172.84	18491.01	18285.65	18204.12	19512.63	20538.64	22780.23	24546.36	26100.14
CZ06	23740.94	23630.57	23606.23	22869.28	24513.18	25333.78	27655.3	30219.71	32396.33
CZ07	15280.01	14988.37	14700.51	14770.91	15726.08	16441.13	18070.69	19341.59	20770.34
CZ08	16201.73	15994.18	15038.84	15118.06	15966.14	16657.4	17904.95	19511.89	19853.75
DE11	170365.17	175849.17	180470.23	187384.86	198850.19	201929.14	212966.29	221910.2	224632.72
DE12	101910.76	103103.95	105006.11	109251.07	113393.3	116091.12	121424.94	125216.14	128174.58
DE13	69679.68	70820.85	73082.53	76710.87	79014.61	81276.92	84334.8	87541.7	90036.23
