geo	2016	2017	2018	2019	2020
AT11	10.8	11.5	11.0	10.6	9.3
AT12	13.4	14.3	13.7	12.6	9.3
AT13	19.6	20.8	20.4	20.1	16.5
AT21	12.0	13.2	13.3	12.6	10.1
AT22	14.2	15.1	14.2	14.0	11.3
AT31	13.5	14.2	13.2	13.6	10.6
AT32	13.9	14.2	12.9	12.0	10.6
AT33	14.6	15.1	14.8	14.6	11.0
AT34	14.7	15.2	14.3	13.0	10.5
BE10	10.0	12.6	11.7	10.7	10.3
BE21	6.3	7.3	8.2	8.2	7.0
BE22	5.9	8.4	8.4	8.2	7.2
BE23	7.5	9.7	9.2	8.9	8.8
BE24	9.1	10.2	9.4	9.5	8.6
BE25	7.0	8.2	8.1	8.2	7.0
BE31	8.4	9.6	9.3	9.5	9.3
BE32	4.1	4.8	5.3	4.6	3.6
BE33	6.9	7.0	8.2	7.2	6.1
BE34	7.0	7.1	7.5	9.1	6.6
BE35	4.4	8.4	8.6	6.7	6.3
BG31	1.0	1.2	1.3	1.1	
BG32	1.3	1.8	1.7	1.6	1.5
BG33	1.9	1.4	1.4	1.3	1.4
BG34	1.6	1.8	1.9	1.2	0.7
BG41	3.8	4.0	4.5	3.4	2.7
BG42	1.6	1.4	1.6	1.4	1.1
CH01	28.3	27.6	28.5	28.9	25.0
CH02	31.0	30.8	31.2	31.0	26.1
CH03	33.0	31.9	32.7	33.9	29.3
CH04	35.6	35.5	36.2	37.8	32.9
CH05	30.4	30.2	30.3	31.7	26.2
CH06	32.6	33.4	33.2	32.4	28.2
CH07	23.9	26.2	25.0	24.7	21.3
CY00	6.9	6.9	6.7	5.9	4.7
CZ01	8.7	11.3	12.2	10.4	9.2
CZ02	8.4	8.0	6.2	7.7	3.7
CZ03	9.0	10.3	7.1	6.0	4.2
CZ04	7.9	6.8	5.9	5.1	2.8
CZ05	8.4	9.9	9.0	7.7	4.8
CZ06	9.6	10.3	9.5	10.1	6.9
CZ07	7.2	10.0	8.5	8.0	5.4
CZ08	10.8	11.2	8.9	8.6	6.5
DE11	10.1	9.4	8.9	8.9	8.3
DE12	9.9	9.6	9.3	9.4	8.4
DE13	10.0	9.1	9.4	8.0	8.2
DE14	10.0	9.5	9.1	8.8	7.4
DE21	8.5	8.5	8.6	8.4	8.3
DE22	5.5	5.3	5.6	5.4	4.9
DE23	6.9	7.0	6.5	6.4	5.9
DE24	8.7	8.3	8.1	7.6	6.3
DE25	7.2	7.3	6.7	7.0	7.2
DE26	8.4	8.6	8.8	8.8	7.5
DE27	6.1	6.4	6.4	5.8	7.0
