geo	2013	2014	2015	2016	2017	2018	2019
AT11	10332	10242	10285	10351	10502	10524	10538
AT12	64056	63709	63420	63361	64348	64665	65453
AT13	64424	65441	66832	68054	69891	72242	72870
AT21	20825	20748	20658	20402	20693	20609	20566
AT22	43959	43841	43586	43765	44584	44782	44991
AT31	58281	58150	58190	58364	59445	60199	60943
AT32	20923	20707	20536	20468	20745	20878	20948
AT33	28034	28119	27850	27934	28285	28470	29067
AT34	16356	16291	16462	16336	16442	16654	16689
ATZZ	0	0	0	0	0	0	0
BE10	90569	92435	94608	97105	104709	105850	100639
BE21	117410	123871	126545	129961	133226	134763	135764
BE22	54568	55458	56491	58065	59435	59962	60209
BE23	95873	98997	101430	104016	106059	106872	107316
BE24	67815	70437	71957	72889	72944	73309	73837
BE25	71078	72662	74054	75763	77329	77844	78524
BE31	27667	27770	28106	28600	28708	28592	28504
BE32	98196	98377	98823	99346	99624	100117	99722
BE33	71747	71718	72576	73380	74461	75329	75588
BE34	23000	22910	23085	23215	23353	23187	23150
BE35	34644	34571	34931	35050	35126	35411	35318
BEZZ	11570	0	0	0	0	0	0
BG31	29188	29151	28680	28097	28082	27188	26185
BG32	27372	27160	26939	26400	26300	26031	25201
BG33	34993	35687	35749	35580	34994	34721	33664
BG34	41912	43370	44263	43992	44502	43705	42482
BG41	68841	71182	73243	75273	77657	78588	78218
BG42	51369	52290	52919	52627	52968	52502	51107
BGZZ						0	0
CH01	84308	99167	100214	102314	104279	105382	106197
CH02	107322	107059	108662	110535	112349	113765	114644
CH03	51314	63995	64810	66544	68486	70013	71437
CH04	80775	81462	83250	85024	87430	89393	91667
CH05	67740	66764	67677	67776	68418	69155	69800
CH06	46572	46289	46476	46866	47403	47815	48410
CH07	15827	19150	19380	19279	19321	19121	18932
CHZZ	0	0	0	0	0	0	0
CY00	54069	53129	53773	54541	55862	57079	58473
CZ01	52376	55733	59984	64007	67288	69054	70155
CZ02	63237	66705	70987	75284	78973	81593	82692
CZ03	56703	58965	61536	63914	66192	66688	66196
CZ04	55539	57008	59181	60723	62144	62385	61412
CZ05	71974	74425	77864	80811	83338	84025	83441
CZ06	77590	80258	83561	87163	89722	91073	91186
CZ07	56827	58526	60954	63043	64646	65141	64288
CZ08	57582	58993	60865	62510	63677	63563	62453
CZZZ	0	0	0	0	0	0	0
DK01	137889	138265	140914	142550	143415	143708	143164
DK02	71406	70732	70158	70161	70160	68841	66815
DK03	102190	101379	100785	101178	101253	99606	98059
DK04	111021	110349	110175	110949	110838	109884	108318
DK05	47062	46759	46504	46949	46857	46323	45518
DKZZ	0	0	0	0	0	0	0
EE00	75644	77215	79594	82824	85617	88107	89618
EL30	216384	215420	221202	223903	225795	224738	223713
EL41	11000	10933	11142	11268	11398	11320	11463
EL42	21435	21396	22039	22395	22763	22882	22997
EL43	42444	41797	43560	44121	44334	44208	43987
EL51	36283	35512	36437	36100	35782	34845	34343
EL52	113324	112484	114479	114488	114935	113574	110924
EL53	16147	15852	15837	15658	15603	15056	14691
EL54	17600	17491	17768	18037	18208	18003	17645
