geo	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
AL01	78.1	83.4	95.3	96.9	96.6	95.8	100	103.7	106.2	108.9	111.6
AL02	77.8	79.5	90.5	91	92.5	95.3	100	103.1	110.5	116	119
AL03	73.3	76.1	97.5	98.7	100.1	103.2	100	102.9	102.5	106.4	108.6
AT11	90.6	92.6	95.7	97.2	98.8	99.1	100	101.5	105	106.4	107.2
AT12	93.4	93.9	97	96.8	97.3	98.8	100	101.2	104.8	107.1	109.5
AT13	97	98.4	100.6	100.4	100	99.5	100	102.8	103.1	106.8	108
AT21	95.3	97.3	101.3	100.4	100	100.5	100	100.5	104.1	107.8	108.7
AT22	91.8	93.9	97.6	99.7	99	99.9	100	102.5	105.8	107.2	109.6
AT31	90.4	93.1	96.9	97.1	98.4	99.4	100	101.7	104.6	108.1	109
AT32	91.4	95	98	99.1	98.1	98.2	100	102.9	105.6	107.8	109.1
AT33	91	92	94.5	96.7	97.1	98	100	101.6	103.6	106.5	108
AT34	87	89.1	92.9	93.3	95	97.8	100	100.8	103.7	105.3	107.1
ATZZ	115.7	114.6	108.8	108.7	99.9	98.6	100	97.9	97.9	101	101.7
BE10	94.5	96.5	97.3	98.4	98.1	98.9	100	99.2	100.2	100.7	103.6
BE21	88	90.4	93.6	94.6	95.2	96.7	100	101.3	102.5	105.1	107.3
BE22	88.6	92.1	95.5	95.5	95.9	99.4	100	101.4	103.4	104.8	105.8
BE23	89.1	91.3	93.3	94	94.7	96	100	101.3	103.8	105	106.6
BE24	90.1	91.3	93.1	94.9	95.6	97	100	101.8	103.3	105.8	108.3
BE25	89.2	91.9	93.9	95	96.1	98.2	100	101.4	103	104.6	106.6
BE31	84.3	93.8	87.9	91.1	94.6	98.6	100	104.2	107.5	114.8	126.1
BE32	92.6	95.6	98.3	97.8	97.2	98.5	100	100.3	101.3	103.5	103.6
BE33	93.9	95.9	98.7	97.9	97.6	99.1	100	100.8	102.6	103.9	105.5
BE34	93.2	95.6	98.1	94.4	93.8	97.6	100	100.1	102	103.6	105.3
BE35	93.3	96.7	98.3	98.4	97.6	98.8	100	101.3	102.5	104	105.3
BEZZ	87.1	103.9	101.7	104.9	101.6	102.9	100	69	71.1	91.7	100.4
