geo	2015	2016	2017	2018	2019
AT11	239262	243064	247071	251467	254828
AT12	1295393	1314799	1335899	1359128	1378944
AT13	762154	770247	780874	791175	799636
AT21	412794	418695	425085	432693	438684
AT22	885558	900198	916770	933812	947061
AT31	1092723	1111830	1132380	1155994	1174450
AT32	356751	363143	369849	377512	383005
AT33	465467	475200	485774	496245	504678
AT34	235810	240851	245474	250215	254178
BE10	595323	563247	571565	573503	570077
BE21	1046946	1063592	1081072	1094675	1101692
BE22	539262	549110	558633	568383	574069
BE23	836419	851579	861596	872936	880345
BE24	778046	825402	840840	861096	881409
BE25	720318	733054	748285	760913	770211
BE31	232710	248990	253153	257522	261951
BE32	723258	735168	745258	755841	757462
BE33	598056	607379	616237	625694	630458
BE34	174534	179417	182738	175049	177629
BE35	278070	283380	288106	292678	297409
BG31	410147	407942	331494	325845	329824
BG32	438017	446720	372585	360722	364640
BG33	478041	474426	412349	407172	413877
BG34	460681	462188	427936	433432	445427
BG41	1237047	1223458	1113232	1134962	1160682
BG42	643854	646586	591779	605819	625257
CY00	597209	620551	640661	668268	693821
CZ01	913960	960300	1015313	1056567	1083418
CZ02	763222	792349	825225	857346	886602
CZ03	716451	741253	771314	799357	823726
CZ04	578129	596809	619520	641867	661051
CZ05	813034	841429	873443	903241	929040
CZ06	885011	915794	951826	984394	1013697
CZ07	590029	608885	631477	652734	671614
CZ08	560593	576006	596429	615975	631788
DE11	2602452	2653953	2712026	2762079	2808945
DE12	1670206	1698662	1731289	1761554	1789897
DE13	1402540	1428528	1457024	1483194	1508022
DE14	1218050	1240312	1267221	1291813	1316365
DE21	2879481	2928394	2991545	3055951	3103482
DE22	886207	904445	922465	944566	965301
DE23	784184	797058	814269	839862	860428
DE24	750549	759769	771701	783290	794273
DE25	1093008	1111063	1132004	1150281	1168957
DE26	913266	927670	942291	957024	971944
DE27	1236429	1261148	1287634	1314220	1341965
DE30	1266739	1284583	1305112	1316985	1328836
DE40	1533761	1556211	1580399	1606360	1629514
DE50	301785	306727	313547	313964	316904
DE60	813839	827308	839529	854173	868090
DE71	2375211	2418613	2463983	2512148	2545001
DE72	672891	682645	692839	703546	712859
DE73	792865	804222	816727	829231	841943
DE80	941731	952050	963668	975226	986526
DE91	1034132	1051202	1061739	1076487	1095060
DE92	1239082	1258635	1279710	1299237	1316520
DE93	1125469	1146973	1169352	1190453	1211880
DE94	1582912	1616288	1651441	1684973	1717391
DEA1	2879484	2928318	2979137	3021169	3062624
DEA2	2568188	2626191	2683071	2723232	2760544
DEA3	1518319	1545617	1575474	1604780	1633914
DEA4	1278239	1299679	1323970	1346481	1369838
DEA5	2084420	2117213	2153420	2193103	2227289
DEB1	1011399	1027763	1046560	1064099	1082958
DEB2	363056	368999	375740	381801	388321
DEB3	1292713	1312553	1332992	1349852	1370495
DEC0	662085	670323	678938	687175	695245
DED2	903903	911104	920067	927945	936769
DED4	918640	923078	929185	934559	938495
DED5	523865	530901	538062	545637	553073
DEE0	1338187	1346530	1356500	1366649	1376196
DEF0	1746756	1779841	1807498	1847060	1876900
DEG0	1328839	1336265	1246460	1357421	1366858
DK01	804223	839165	867172	890649	909175
DK02	424636	431588	438837	444993	450391
DK03	629323	643337	654959	666309	675759
DK04	675940	691889	701986	711565	720480
DK05	302933	308902	315928	324022	329763
EL30	3080446	3135479	3211773	3252095	3337225
EL41	93107	92756	92342	91822	92415
EL42	155403	156551	157945	159731	162808
EL43	391971	395717	399863	403795	412454
EL51	283901	284793	286603	289448	294143
EL52	962847	964823	968153	967228	983453
EL53	138500	137731	137182	136813	137961
EL54	158596	159343	160264	161704	165315
EL61	343307	344565	346047	347976	353507
EL62	113592	114370	115610	116708	118866
EL63	272696	274052	274202	275151	280293
EL64	232814	232292	230557	227392	228663
EL65	222250	219667	218728	216590	218729
ES11	1755660	1779504	1810222	1839525	1872820
ES12	600511	606674	614671	619369	629120
ES13	355979	360899	367293	375323	377754
ES21	1170162	1184271	1200838	1212451	1226007
ES22	395161	402370	411862	418173	424559
ES23	180984	184388	188086	191273	194966
ES24	745481	757646	771115	785425	792992
ES30	3988739	4107243	4319081	4488403	4625861
ES41	1572034	1592134	1617597	1636795	1662819
ES42	1314208	1342098	1373112	1402260	1436412
ES43	707973	720611	735481	749401	765835
ES51	4227665	4310967	4336545	4407974	4429223
ES52	2924136	2974686	3043970	3127094	3161734
ES53	811216	833972	859402	879776	894665
ES61	4750296	4844730	4963422	5081562	5184724
ES62	871049	892365	916806	951640	965936
ES63	49182	49579	49815	49624	50245
ES64	54927	55777	57405	59330	60568
ES70	1408347	1451534	1505521	1545248	1583502
FI19	1062031	1098850	1128170	1156753	1185530
FI1B	960042	992313	1013138	1044363	1072690
FI1C	862550	888939	910939	930847	951005
FI1D	982646	1016487	1040116	1063660	1091286
FI20	28010	28943	29657	30284	30918
FR10	6222831	6190669	6197238	6191205	6334433
FRB0	1621407	1604892	1595465	1590106	1595131
FRC1	1035497	1022608	1016173	1013675	1020511
FRC2	778635	775379	769400	768713	773566
FRD1	932152	928068	930238	937779	952985
FRD2	1205256	1201683	1197290	1189396	1205216
FRE1	2270357	2259165	2259950	2262060	2294080
FRE2	1386080	1392764	1404245	1415397	1451067
FRF1	1186151	1181688	1180886	1179037	1187677
FRF2	851453	835831	829244	824396	828767
FRF3	1474419	1464256	1460204	1456441	1468979
FRG0	2319569	2312832	2320824	2343877	2383299
FRH0	2118470	2110251	2119130	2139319	2179344
FRI1	2234270	2229099	2237649	2251989	2280910
FRI2	477066	471681	470119	469826	472488
FRI3	1216528	1211060	1215697	1226775	1236703
