geo	2013	2014	2015	2016	2017	2018	2019
AT11	4686	5136	5327	5464	6005	6437	6750
AT12	27979	29782	30859	31462	33030	34550	33152
AT13	192566	190576	192816	196034	195658	194877	192471
AT21	18500	18008	17773	17584	17189	16820	15527
AT22	64186	63779	63728	64095	63629	62899	62035
AT31	41178	40668	40874	41119	41019	40700	39671
AT32	27248	26325	26804	27092	26292	26647	26837
AT33	42102	42413	43064	43508	42691	42460	42025
AT34	4333	4537	4727	4767	4857	4808	4582
ATZZ	0	0	0	0	0	0	0
BE10	109508	113007	117669	111685	116932	111495	115754
BE21	63693	62588	65343	66166	71765	71389	70174
BE22	22507	23064	23063	23053	24138	23115	21383
BE23	85004	75805	75971	76908	79348	84911	82411
BE24	53697	59808	60069	59133	61288	48341	47646
BE25	24677	23540	23262	24129	25902	26689	25425
BE31	28376	28958	28869	28192	28562	30585	27558
BE32	35399	36972	36820	41186	41297	40758	42952
BE33	47650	48512	49412	52342	52410	52856	54415
BE34	4159	4360	4489	5155	5310	5197	5078
BE35	18728	19296	19805	19830	20165	20194	19301
BEZZ	5269	0	0	0	0	0	0
BG31	2503	2902	2961	3325	3675	4471	4809
BG32	45292	44355	44334	40546	37199	32227	29166
BG33	41957	40825	39747	38448	34511	32721	31718
BG34	16301	16464	16066	15446	14205	13637	12986
BG41	134670	135827	131578	126645	120199	114921	113123
BG42	43236	42921	44267	42297	40148	38358	37662
BGZZ						0	0
CH01	64827	66741	67074	64291	66889	68130	70195
CH02	55852	58390	59144	57828	58713	59315	59802
CH03	17562	17753	18423	20042	19812	20139	20087
CH04	80789	82997	83827	84326	85416	88134	89703
CH05	22185	23049	23487	24542	24619	24851	26056
CH06	18441	19641	20061	20522	20285	20829	20917
CH07	6893	7396	7593	7789	7787	7718	7859
CHZZ	13070	13603	14841	15809	17097	17627	18314
CY00	31965	33674	37166	40347	45263	47169	50211
CZ01	154168	149539	143258	135041	130311	125865	122075
CZ02	6381	6268	5732	5241	4890	4463	4061
CZ03	40844	40370	38558	35736	33769	29694	29108
CZ04	17014	16545	15432	14326	12859	12034	11461
CZ05	36971	35822	33389	30055	27715	25912	24847
CZ06	92185	92243	85909	82638	78768	70633	69772
CZ07	38289	37113	36407	35419	33942	32055	31290
CZ08	41458	40609	36740	33326	30406	28163	26481
CZZZ	131	115	104	146	213	217	248
DK01	123036	125282	132000	131903	129003	128847	128712
DK02	22685	23439	24401	24457	24808	24519	24142
DK03	46849	50663	53120	53585	53885	54270	52316
DK04	72527	73604	73593	73393	72611	71062	71223
DK05	26050	28411	30642	31484	32072	32205	32174
DKZZ	0	0	0	0	0	0	0
EE00		59998	55214	51092	47794	45773	45484
EL30	231755	248097	257073	264505	271968	276030	279339
EL41	10915	11408	12004	12308	13084	13475	14514
EL42	4238	4267	4550	4575	4873	5709	5995
EL43	43319	40687	44497	44147	45170	47144	52807
EL51	35095	35466	35686	36837	39006	41208	43127
EL52	127049	128768	124177	128072	134289	140097	143056
EL53	25321	25216	25775	28193	23675	28075	28821
EL54	29389	29100	29124	31871	31384	32415	35300
EL61	29665	29221	30428	32528	34259	36823	39655
EL62	8238	7279	9077	10059	10310	11285	11176
EL63	82147	86397	86055	83471	92150	98222	102213
EL64	21460	20249	20326	19934	20451	21737	22729
EL65	10693	11274	12096	12988	14408	14654	15375
ELZZ	0	0	0	0	0	0	0
ES11	104167	105403	102511	100958	99204	99613	99536
ES12	37799	37522	36683	35947	35484	35556	34999
ES13	19356	19864	19926	20026	20856	22204	23531
ES21	84932	85802	85847	85319	86894	88896	89224
ES22	23954	24809	24621	25057	25548	26288	27393
ES23	20072	24307	25510	27871	30520	31827	34712
ES24	50793	51671	50597	50573	51862	52124	52720
ES30	366804	367989	367731	377057	390674	403833	408905
ES41	115332	119037	113801	108325	109875	111474	109491
ES42	57154	57627	55796	53453	53461	52723	53090
ES43	36370	35708	33906	34351	34215	33431	32624
ES51	322572	324812	328851	339008	353864	367542	379060
ES52	223607	222486	217547	213506	216703	217688	223082
ES53	24186	23883	23592	23366	23562	24132	25261
ES61	342646	338966	334522	332482	334961	340697	344735
ES62	65411	65287	65785	66659	68176	69530	69642
ES63	2753	2864	2818	2692	2643	2642	2677
ES64	2461	2640	2545	2569	2740	2842	2948
ES70	69003	71332	71335	69483	68941	68784	70349
ESZZ	41	153	0	0	0	0	0
FI19	82956	81829	80717	78987	78909	78780	78986
FI1B	98218	97485	95989	93809	93375	92032	91651
FI1C	56626	55898	55075	54450	54563	54993	55971
FI1D	70606	70271	70143	69383	68117	68064	68190
FI20	603	597	554	534	564	522	521
FIZZ	0	0	0	0	0	125	132
FR10	617437	628015	628822	640421	654485	693451	713715
FRB0	58841	59430	60858	61956	63398	65026	66401
FRC1	41881	42532	42880	43712	44558	44096	45211
FRC2	34092	34374	34637	35053	35149	35906	37162
FRD1	37155	37786	38756	40822	42143	40714	41948
FRD2	55257	56888	58331	60894	61317	67755	68855
FRE1	154656	157142	157215	162144	168964	181413	183532
FRE2	44991	45452	46233	47873	49054	50542	52041
FRF1	69640	70825	73376	74904	76911	78423	80175
FRF2	39938	41853	42765	43049	43240	38596	39542
FRF3	76764	77652	80314	82113	83792	83799	84972
