geo	2016	2017	2018	2019	2020
AT11					
AT12	7.0	6.1	5.5	7.3	7.0
AT13	11.6	9.6	10.4	9.8	9.9
AT21	8.2	5.7	6.0	6.1	7.9
AT22	6.5	5.8	5.2	6.5	7.6
AT31	5.8	5.5	6.1	5.3	7.5
AT32	6.2		6.1	6.2	8.3
AT33	5.7	4.7	5.3	6.0	6.9
AT34	6.7	6.9		7.2	7.1
BE10	15.2	13.3	13.3	12.9	11.3
BE21	9.4	9.3	9.3	7.8	8.0
BE22	7.2	7.2	7.6	8.2	7.1
BE23	8.2	5.9	8.1	8.7	7.2
BE24	6.0	5.0	5.7	6.4	6.8
BE25	5.2	7.6	7.5	6.1	7.0
BE31	8.9	8.8	6.8	9.4	9.2
BE32	14.7	13.7	12.0	12.9	13.8
BE33	12.3	12.0	9.6	10.1	11.2
BE34	9.3	6.3	6.1	8.8	8.3
BE35	9.5	10.9	10.5	10.6	10.9
BG31	32.5	22.9	23.0	23.5	27.0
BG32	18.6	17.4	16.3	14.1	13.1
BG33	16.5	14.9	15.9	16.5	14.5
BG34	24.3	23.8	24.1	21.2	21.6
BG41	10.5	8.0	6.2	5.4	6.5
BG42	20.4	16.7	18.3	15.7	16.8
CH01	8.5	8.6	7.5	7.0	7.0
CH02	7.3	5.4	6.2	5.6	6.7
CH03	7.2	6.6	6.1	5.0	6.2
CH04	6.2	6.1	5.0	6.9	6.5
CH05	6.2	5.8	4.5	5.6	5.0
CH06	5.3	5.5	5.2	5.4	5.9
CH07	8.3	7.8	9.5	10.8	7.5
CY00	16.0	16.1	13.2	13.7	14.4
CZ01	2.0	2.0	3.5	2.7	3.4
CZ02	6.6	6.0	3.7	3.3	5.9
CZ03	7.0	5.2	4.4	5.0	6.4
CZ04	12.2	12.9	12.2	11.8	13.6
CZ05	7.3	5.7	5.4	5.4	5.0
CZ06	5.8	5.2	4.5	4.0	4.8
CZ07	6.8	6.5	4.8	6.1	6.9
CZ08	8.1	7.2	7.3	8.0	8.2
DE11	6.0	5.0	5.0	5.5	7.3
DE12	5.4	5.7	5.4	4.7	
DE13	7.1	5.0	5.1	4.9	
DE14	4.1	3.9	4.0	3.7	
DE21	4.6	4.0	3.9	3.7	6.2
DE22	5.0				
DE23	4.7				
DE24		5.0	5.3		
DE25	5.1	5.1	5.6	4.6	
DE26	5.6	4.7	3.5	3.7	
DE27	4.3	4.6	4.5	3.7	
DE30	9.4	9.4	9.1	7.8	10.0
DE40	7.4	6.7	7.4	6.4	
DE50	9.4	8.5	8.3	9.3	
DE60	9.4	8.0	7.6	8.3	
DE71	7.3	6.2	5.1	5.1	7.6
DE72	4.6	5.3	5.6	4.2	
DE73	7.0		7.3	6.3	
DE80	9.4	7.1	8.0	6.8	
DE91	7.3	7.5	7.2	6.0	
DE92	8.6	8.1	6.5	8.0	
DE93	6.7	7.9	6.7	6.2	
DE94	6.9	5.6	5.5	6.7	
DEA1	7.8	8.2	7.7	7.1	8.9
DEA2	5.9	6.7	6.7	5.4	7.0
DEA3	7.2	6.3	6.6	5.1	
DEA4	6.6	5.8	5.0	4.4	
DEA5	8.4	7.6	6.8	7.0	9.5
DEB1	7.0	7.8	5.6	5.3	
DEB2					
DEB3	7.2	7.5	6.2	7.2	
DEC0	9.3	7.5	5.8	5.6	
DED2	5.5	5.6		4.1	
DED4	8.0	5.2	5.5	5.7	
DED5	6.0	7.6	5.5		
DEE0	7.6	8.8	7.1	7.1	
DEF0	6.5	6.2	6.2	6.7	9.3
