NUTS,NAME_LATN,geometry
CZ05,Severovýchod,"list(list(c(15.53527, 15.79826, 16.04792, 16.10732, 16.39187, 16.38797, 16.25913, 16.58029, 16.71412, 16.86327, 16.74842, 16.75513, 16.83227, 16.8042, 16.39363, 15.49695, 15.51435, 15.40911, 15.43759, 15.37109, 15.36813, 15.14948, 15.13609, 15.14677, 14.96995, 14.76738, 14.6512, 14.48649, 14.38082, 14.37731, 14.6188, 14.76738, 14.82336, 14.97733, 15.06242, 15.24294, 15.37694, 15.53527, 50.77938, 50.74236, 50.63021, 50.66207, 50.60332, 50.54313, 50.45442, 50.14279, 50.11617, 50.19812, 49.96387, 49.82667, 
49.70897, 49.59881, 49.58061, 49.86118, 49.95448, 50.05297, 50.10986, 50.15167, 50.27017, 50.34384, 50.46398, 50.52294, 50.60214, 50.55475, 50.48628, 50.50503, 50.6158, 50.70042, 50.8578, 50.81985, 50.87055, 50.87812, 51.01063, 50.98354, 50.80168, 50.77938)))"
CZ06,Jihovýchod,"list(list(c(15.49695, 16.39363, 16.8042, 16.84882, 16.93874, 17.1599, 17.17249, 17.64693, 17.39673, 17.17234, 16.94028, 16.88365, 16.55962, 16.29009, 15.75363, 15.54245, 15.58676, 15.53718, 14.94367, 14.90357, 14.93202, 15.20588, 15.23336, 15.49695, 49.86118, 49.58061, 49.59881, 49.4126, 49.48073, 49.27506, 49.09576, 48.85427, 48.81335, 48.85478, 48.61725, 48.70997, 48.80551, 48.73395, 48.85218, 48.9077, 48.94716, 49.10369, 49.31737, 49.38056, 49.5491, 49.61328, 49.74373, 49.86118)))"
CZ07,Střední Morava,"list(list(c(18.4036, 18.32244, 18.16977, 18.06852, 17.64693, 17.17249, 17.1599, 16.93874, 16.84882, 16.8042, 16.83227, 16.75513, 16.74842, 16.86327, 16.99529, 16.88712, 16.90792, 17.4296, 17.25352, 17.17862, 17.4629, 17.91686, 18.27056, 18.4036, 49.39675, 49.31506, 49.26352, 49.04944, 48.85427, 49.09576, 49.27506, 49.48073, 49.4126, 49.59881, 49.70897, 49.82667, 49.96387, 50.19812, 50.26852, 50.40625, 50.44945, 50.25451, 50.13873, 49.86334, 49.83487, 49.53781, 49.49155, 49.39675)))"
CZ08,Moravskoslezsko,"list(list(c(18.03506, 18.32694, 18.57572, 18.6155, 18.80179, 18.85155, 18.57536, 18.4036, 18.27056, 17.91686, 17.4629, 17.17862, 17.25352, 17.4296, 17.7297, 17.7353, 17.65172, 17.8455, 18.03506, 50.06577, 49.9285, 49.91042, 49.75035, 49.65875, 49.51719, 49.49721, 49.39675, 49.49155, 49.53781, 49.83487, 49.86334, 50.13873, 50.25451, 50.2854, 50.21248, 50.14034, 49.98937, 50.06577)))"
DK01,Hovedstaden,"list(list(c(15.15353, 15.08181, 14.96277, 14.74544, 14.68484, 14.71426, 14.77432, 14.82603, 15.15331, 15.15353, 55.07771, 54.98883, 55.00468, 55.06465, 55.09806, 55.2238, 55.29767, 55.25316, 55.13204, 55.07771)), list(c(12.7988, 12.78817, 12.69904, 12.73764, 12.7988, 55.66527, 55.56419, 55.59665, 55.69131, 55.66527)), list(c(12.58275, 12.58413, 12.6565, 12.56883, 12.5047, 12.36347, 12.16915, 12.25079, 12.08901, 11.98078, 11.8753, 11.93499, 11.90445, 12.28032, 12.56975, 12.58275, 55.80797, 55.722, 
55.5895, 55.5676, 55.6367, 55.59381, 55.63094, 55.70841, 55.78049, 55.73012, 55.73766, 55.84698, 55.97947, 56.11484, 56.04561, 55.80797)), list(c(11.76889, 11.7833, 11.67638, 11.63835, 11.76889, 56.23591, 56.14981, 56.15579, 56.19874, 56.23591)))"
AT31,Oberösterreich,"list(list(c(14.69101, 14.86437, 14.96027, 14.96747, 14.76738, 14.52081, 14.48276, 14.53296, 14.74337, 14.73855, 14.69542, 14.46177, 14.30188, 14.07384, 14.05484, 14.01066, 13.82789, 13.71344, 13.73434, 13.58558, 13.51636, 13.49989, 13.52064, 13.29389, 13.30382, 13.17753, 12.99195, 12.86018, 12.75156, 12.94468, 13.17704, 13.39324, 13.43843, 13.51337, 13.72709, 13.80844, 13.79611, 13.83951, 14.1123, 14.34354, 14.4874, 14.69101, 48.5843, 48.50854, 48.37648, 48.24736, 48.17851, 48.23735, 48.10564, 47.99348, 
47.88766, 47.74743, 47.7584, 47.66731, 47.611, 47.62712, 47.66731, 47.70051, 47.72188, 47.66731, 47.4905, 47.47399, 47.49678, 47.66731, 47.71457, 47.85111, 48.00782, 47.98215, 48.0373, 47.99664, 48.11281, 48.20669, 48.29439, 48.37219, 48.54889, 48.59098, 48.51302, 48.61126, 48.7136, 48.7716, 48.59388, 48.56313, 48.63001, 48.5843)))"
AT32,Salzburg,"list(list(c(13.30382, 13.29389, 13.52064, 13.49989, 13.51636, 13.58558, 13.60684, 13.86437, 13.9187, 13.78513, 13.66163, 13.35458, 13.07902, 12.65608, 12.46293, 12.24075, 12.13601, 12.09998, 12.44783, 12.67276, 12.57503, 12.59909, 12.6958, 12.92276, 13.04606, 13.07871, 12.92935, 12.98329, 12.87579, 12.86018, 12.99195, 13.17753, 13.30382, 48.00782, 47.85111, 47.71457, 47.66731, 47.49678, 47.47399, 47.2833, 47.25169, 47.15055, 46.94405, 47.04093, 47.0973, 47.03127, 47.0997, 47.15172, 47.06917, 47.08067, 
47.26712, 47.3343, 47.4778, 47.63232, 47.66731, 47.68222, 47.50198, 47.5205, 47.66731, 47.73407, 47.86263, 47.96261, 47.99664, 48.0373, 47.98215, 48.00782)))"
AT33,Tirol,"list(list(c(12.69064, 12.47792, 12.16293, 12.14311, 12.24075, 12.46293, 12.65608, 12.93809, 12.73035, 12.69064, 46.65697, 46.67984, 46.91672, 46.99888, 47.06917, 47.15172, 47.0997, 46.80037, 46.7285, 46.65697)), list(c(12.57503, 12.67276, 12.44783, 12.09998, 12.13601, 11.77459, 11.6272, 11.16428, 10.9935, 10.66464, 10.46965, 10.47209, 10.39464, 10.14497, 10.11505, 10.21279, 10.17835, 10.43481, 10.45444, 10.8862, 10.9912, 11.0165, 11.42143, 11.41022, 11.56069, 11.63288, 12.06066, 12.16928, 12.18239, 
12.20035, 12.33805, 12.45255, 12.50015, 12.57503, 47.63232, 47.4778, 47.3343, 47.26712, 47.08067, 46.98302, 47.0133, 46.96572, 46.77015, 46.86335, 46.85491, 46.93503, 46.98382, 46.85101, 46.93407, 47.15728, 47.27011, 47.39793, 47.5558, 47.53685, 47.39613, 47.39637, 47.44485, 47.49532, 47.52129, 47.59245, 47.61874, 47.62105, 47.66731, 47.70595, 47.69709, 47.66731, 47.63082, 47.63232)))"
CY00,Kýpros,"list(list(c(32.27382, 32.28884, 32.40819, 32.49219, 32.55408, 32.65224, 32.82707, 32.89705, 32.93662, 32.92323, 32.99466, 33.48217, 33.6518, 33.77072, 33.84893, 33.97883, 34.12609, 34.17078, 34.28526, 34.34516, 34.543, 34.55809, 34.46361, 34.40529, 34.27892, 34.17042, 34.06094, 33.96281, 33.90487, 33.91347, 34.04598, 33.85779, 33.77598, 33.69707, 33.64113, 33.60135, 33.25868, 33.14924, 33.01134, 33.00579, 32.93836, 32.87646, 32.70708, 32.49809, 32.40948, 32.39286, 32.32061, 32.3169, 32.27382, 35.06649, 
35.10503, 35.04059, 35.08544, 35.1749, 35.19515, 35.14119, 35.17275, 35.26797, 35.40195, 35.36768, 35.33175, 35.35844, 35.41241, 35.41212, 35.44685, 35.50656, 35.55766, 35.57433, 35.61965, 35.68085, 35.64099, 35.61426, 35.55737, 35.47885, 35.43751, 35.32693, 35.31958, 35.25588, 35.15975, 35.01869, 34.94381, 34.97975, 34.97833, 34.93499, 34.81734, 34.707, 34.71376, 34.6488, 34.57656, 34.57041, 34.66821, 34.64273, 34.70517, 34.76715, 34.83871, 34.9031, 34.99626, 35.06649)))"
CZ01,Praha,"list(list(c(14.27179, 14.30331, 14.5316, 14.68708, 14.63969, 14.53005, 14.46047, 14.3522, 14.27182, 14.27179, 50.09796, 50.12882, 50.17568, 50.08292, 49.99546, 50.01139, 49.97179, 49.95484, 50.04054, 50.09796)))"
