"","NUTS","Latitude","Longitude","residuals.fm1."
"1","NL41",51.5461,5.4595,0.0321344287243197
"2","NL42",51.1854,5.9292,0.32913854220684
"3","PT11",41.4531,-7.6933,0.0520131113122763
"4","PT15",37.2026,-8.1299,-0.137747879807277
"5","PT16",40.1425,-7.9946,-0.40071327503231
"6","PT17",38.6221,-8.8878,0.749588162532294
"7","PT18",38.4793,-8.0017,-0.504017200088086
"8","PT20",37.7846,-25.3659,-0.603908420919782
"9","PT30",32.7326,-16.9503,-1.07136494275647
"10","BE2",51.1013,4.9852,-0.273879202990486
"11","RO11",47.225,23.3458,-0.906833468509085
"12","RO12",46.186,24.8114,0.160513420283305
"13","RO21",47.0893,26.6947,0.880868145558604
"14","RO22",45.4531,26.9744,0.772924079686365
"15","RO32",44.5139,26.144,0.228090795213316
"16","RO41",44.5996,23.6859,-0.0524404980260067
"17","RO42",45.7133,21.9876,0.270549241519916
"18","SK01",48.2998,17.1607,-0.0199999486249383
"19","BE3",50.4595,4.8252,0.907189315556692
"20","SK04",48.9446,21.2527,-0.118012378572875
"21","FR24",47.55,1.5908,-0.636740838923334
"22","FR51",47.4727,-0.8859,-0.999280376290254
"23","FR52",48.0984,-2.6897,-1.25168975345402
"24","FR82",43.9434,5.9746,-0.237486547882587
"25","HR04",45.6127,17.2044,0.23406076220105
"26","BG33",43.3648,27.3512,0.609129469822576
"27","BG34",42.4799,26.5534,-0.0611684894461397
"28","BG41",42.3235,23.3357,-0.611873761198481
"29","AT12",48.2589,15.7601,0.489135200857243
"30","DE3",52.5005,13.4022,-0.247012190936564
"31","DE4",53.0836,12.1381,0.351018444251535
"32","DE5",53.1065,8.7877,0.106137782886313
"33","DE6",53.5392,10.01,0.0487177602764223
"34","DE8",53.7138,12.4675,-1.30521951353904
"35","DEC",49.3922,6.957,0.257063417127209
"36","DEF",54.0804,9.8212,0.0906726314389884
"37","DEG",50.9044,11.0218,-0.0858102434808428
"38","DK01",55.8618,12.3296,0.939040076782223
"39","DK02",55.4376,11.7509,0.678081595561399
"40","DK03",55.4038,9.0569,-0.454727845363082
"41","DK04",56.2457,9.3996,-0.248958918949373
"42","AT21",46.7161,14.4629,-0.775556019665989
"43","DK05",57.2719,9.953,-0.143661202311471
"44","ES11",42.7431,-7.8957,-0.114731836154035
"45","ES12",43.3017,-5.9972,-0.0794901339238303
"46","ES13",43.1875,-4.0606,0.64911711293884
"47","ES21",43.0651,-2.5863,0.636452072051962
"48","ES22",42.7117,-1.6508,1.18430427867747
"49","ES24",41.507,-0.6751,1.18720172707847
"50","ES30",40.5008,-3.7119,-0.141942283193606
"51","AT22",47.1818,15.5247,-0.141785073951548
"52","ES41",41.7447,-4.8172,0.53616774776233
"53","ES51",41.8005,1.5078,-0.951257190725362
"54","ES52",39.3945,-0.54,-0.102608009860047
"55","ES53",39.6075,2.9634,0.227104819801184
"56","ES61",37.4607,-4.5804,0.316946296778707
"57","ES62",37.9999,-1.4907,-0.0582344143940898
"58","ES64",35.297,-2.9509,-0.192226806139792
"59","AT31",48.143,13.9503,0.276469973886898
"60","ES70",28.2457,-16.5646,-0.0313128232116291
"61","FR10",48.7196,2.5234,0.142651585564003
"62","FRM0",42.1267,9.0976,-1.13914571575907
"63","HR03",44.4289,15.5424,0.258931853315382
"64","ITC1",45.0634,7.9189,0.976055905520952
"65","ITC3",44.1573,8.1521,0.526924465619454
"66","AT32",47.2823,13.0002,0.14484693529785
"67","ITC4",45.6127,9.773,0.137235128367628
"68","ITF1",42.2341,13.8714,0.197363115584326
"69","ITF3",41.0387,14.7373,0.344947481464614
"70","ITF4",41.0043,16.5847,-0.389959436890947
"71","ITF6",39.1604,16.3822,-0.482744270821693
"72","ITG1",37.5704,14.1658,0.304962286817823
"73","ITG2",40.0775,9.0348,-0.638067285702885
"74","ITH1",46.7053,11.4241,0.385533892231311
"75","AT33",47.1809,10.7635,0.858773569571013
"76","ITH3",45.661,11.8546,-0.140273437526049
"77","ITH4",46.1665,13.0495,-0.085658631941282
"78","ITH5",44.5224,11.0296,0.198583617383983
"79","ITI1",43.4794,11.1306,-0.218317127227972
"80","ITI2",42.9717,12.4893,-0.600021170246113
"81","ITI3",43.3477,13.153,0.285936698123534
"82","ITI4",41.9898,12.7501,-0.25544266536537
"83","LV00",56.6829,26.382,-0.420167466546741
"84","NL13",52.8638,6.6292,-0.766648097829651
"85","NL32",52.5945,4.9123,-0.105362181998308
"86","NL33",51.9388,4.4867,0.2409220285419
